	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
Included	In Orth 2011	Substrates	EcoCyc ID	Symbol	Name	Annotation	Function	Synth_Prob	Prob(>=1 transcript/gen)	KEIO LB	KEIO MM 24h	KEIO MM 48h 	Gen footprin LB	PEC database	Mutagen LB	Name	Function	Description	Function	GO-terms
Yes	No	['cystine', 'CPD0-1564', 'CYSTINE']	EG11902	yijE	predicted permease	unknown	unknown	1.31555383649E-06	0.19	0.767	0.27	0.279	N	N	u	EamA-like transporter family protein	Null	EamA-like transporter family protein, function unknown	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	EG11952	mdtP	SdsRQP multidrug efflux transport system - predicted outer membrane factor	unknown	unknown	1.16743220259E-07	0.03	N/A	N/A	N/A	N/A	N/A	N/A	outer membrane factor of efflux pump	Orf; Not classified	Outer membrane factor (OMF) of MdtNOP efflux pump; probable lipoprotein, Cys conserved; tolC homolog; mutants are sensitive to acriflavin and puromycin	Antibiotic resistance 	sulfathiazole transport
Can add reaction	No	['PROTON // Drugs']	EG11953	mdtO	SdsRQP multidrug efflux transport system - uncharacterised component	characterized	characterized	2.45920343381E-07	0.09	N/A	N/A	N/A	N/A	N/A	N/A	membrane translocase (MDR) of MdtNOP efflux pump, PET family	Orf; Not classified	PET family membrane translocase (MDR) of MdtNOP efflux pump; mdtP mutants are sensitive to acriflavin and puromycin	Antibiotic resistance 	sulfathiazole transport
Can add reaction	No	['PROTON // Drugs']	EG11954	mdtN	SdsRQP multidrug efflux transport system - predicted membrane fusion protein	unknown	unknown	2.54445337594E-07	0.03	N/A	N/A	N/A	N/A	N/A	N/A	membrane fusion protein of efflux pump	Putative membrane; Not classified	Membrane fusion protein (MFP) of MdtNOP efflux pump, signal anchor; mdtP mutants are sensitive to acriflavin and puromycin	Antibiotic resistance 	sulfathiazole transport
Can add reaction	No	['PROTON // Drugs']	EG12240	mdtE	MdtEF-TolC multidrug efflux transport system - membrane fusion protein	characterized	characterized	1.11179670769E-06	0.44	0.668	0.353	0.343	N	N	N	anaerobic multidrug efflux transporter, ArcA-regulated	Putative membrane; Not classified	Anaerobic multidrug efflux transporter MdtEF-TolC; toxic nitrosated indole efflux; membrane fusion protein (MFP) component, lipoprotein 	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	EG12241	mdtF	MdtEF-TolC multidrug efflux transport system - permease subunit	characterized	characterized	1.78622572094E-06	0.41	0.894	0.335	0.414	N	N	u	anaerobic multidrug efflux transporter, ArcA-regulated	Putative transport; Not classified	Anaerobic multidrug efflux transporter MdtEF-TolC; toxic nitrosated indole efflux; RND family permease component	Antibiotic resistance 	N/A
Can add reaction	No	['Drugs // NA+']	EG12400	mdtK	multidrug efflux transporter MdtK	characterized	characterized	0.000006435	0.94	0.733	0.42	0.483	N	u	N	multidrug efflux system transporter	Putative transport; Not classified	Multidrug resistance efflux protein; overexpression resistance to norfloxacin, acriflavine, deoxycholate, trimethoprim	Antibiotic resistance 	antibiotic transport
Yes	No	['PROTON // Drugs', 'PROTON // CHOLATE', 'DEOXYCHOLATE // PROTON', 'PROTON // K+', 'PROTON // NA+']	EG12576	mdtM	multidrug efflux transporter MdtM	characterized	characterized	6.21347405073E-07	0.19	0.689	0.319	0.264	N	N	u	multidrug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux protein; overexpression resistance to acriflavin, chloramphenicol, TPP, norfloxacin and ethidium	Antibiotic resistance 	N/A
Can add reaction	No	['WATER // CPD-17927 // CPD-17926 // D-ALANINE', 'WATER // CPD0-1181 // CPD0-1183 // CPD0-1182']	EG12867	ampH	DD-endopeptidase / DD-carboxypeptidase	characterized	characterized	6.20132174009E-06	0.94	0.779	0.273	0.309	N	u	N	D-alanyl-D-alanine-carboxypeptidase/endopeptidase; penicillin-binding protein; weak beta-lactamase	Enzyme; Murein recycling	D-alanyl-D-alanine-carboxypeptidase/endopeptidase; peptidoglycan recycling or remodeling; penicillin-binding protein; very weak beta-lactamase	Antibiotic resistance 	N/A
Can add reaction	No	['CPD0-441 // PROTON']	G6256	fsr	fosmidomycin efflux transporter	characterized	characterized	4.061150727E-06	0.72	0.791	0.284	0.415	N	N	u	putative fosmidomycin efflux system protein	Putative transport; Not classified	Probable fosmidomycin exporter, membrane protein; overexpression confers fosmidomycin resistance	Antibiotic resistance 	N/A
Can add reaction	No	['ATP // WATER // Macrolide-Antibiotics // Pi // ADP']	G6461	macA	MacAB-TolC macrolide efflux transport system - membrane fusion protein	characterized	characterized	1.05043901412E-05	0.97	0.812	0.318	0.277	N	N	u	macrolide transporter membrane fusion protein (MFP) component	Putative membrane; Not classified	Membrane fusion protein (MFP) for macrolide efflux; subunit of ABC-type, TolC-dependent transporter MacAB; signal anchor; periplasmic	Antibiotic resistance 	drug export
Can add reaction	No	['ATP // WATER // Macrolide-Antibiotics // Pi // ADP']	G6462	macB	MacAB-TolC macrolide efflux transport system - membrane subunit	characterized	characterized	3.99887862716E-06	0.81	0.724	0.258	0.289	N	u	N	macrolide ABC transporter peremase/ATPase	Putative transport; Not classified	ABC-type macrolide efflux transporter, with MacA and TolC	Antibiotic resistance 	antibiotic transport
Can add reaction	No	['PROTON // Drugs']	G7113	mdtA	MdtABC-TolC multidrug efflux transport system - putative membrane fusion protein	characterized	characterized	0.000001295	0.31	0.729	0.298	0.202	N	N	N	multidrug efflux system, subunit A	Putative membrane; Not classified	MdtABC-TolC efflux pump, multidrug resistance; membrane fusion protein, signal anchor	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	G7114	mdtB	MdtABC-TolC multidrug efflux transport system - membrane subunit	characterized	characterized	9.66363790818E-07	0.22	0.766	0.324	0.34	N	N	N	multidrug efflux system, subunit B	Null	MdtABC-TolC efflux pump, multidrug resistance; heterodimeric RND-type transporter	Antibiotic resistance 	N/A
Can add reaction	No	['PROTON // Drugs']	G7115	mdtC	MdtABC-TolC multidrug efflux transport system - membrane subunit	characterized	characterized	7.4809338571E-07	0.25	0.774	0.258	0.279	N	N	u	multidrug efflux system, subunit C	Null	MdtABC-TolC efflux pump, multidrug resistance; heterodimeric RND-type transporter	Antibiotic resistance 	N/A
Can add reaction	No	['WATER // CPD-17927 // CPD-17926 // D-ALANINE']	G7265	yfeW	penicillin binding protein 4B	characterized	unknown	0.000000798	0.22	0.818	0.31	0.352	N	u	N	penicillin binding protein PBP4B; weak DD-carboxypeptidase activity	Enzyme; Murein sacculus, peptidoglycan	Penicillin binding protein PBP4B; weak DD-carboxypeptidase activity	Antibiotic resistance 	N/A
Yes	No	['CPD-18804 // CPD-18805 // CPD-18806', 'CPD-17989 // CPD0-1080', 'Peptidoglycan-dimer // NAcMur-Peptide-NAcGlc-Undecaprenols // GlcNAc-1-6-anhydro-MurNAc-pentapeptide']	EG10246	mltD	membrane-bound lytic murein transglycosylase D	characterized	characterized	0.0001462873	1.00	0.826	0.44	0.365	N	N	N	putative membrane-bound lytic murein transglycosylase D	Regulator; Energy metabolism, carbon: Anaerobic respiration	Membrane-bound lytic transglycosylase D, murein hydrolase; periplasmic OM-attached lipoprotein	Cell structure membrane 	positive regulation of oxidoreductase activity
Yes	No	['Lipopolysaccharides']	EG10855	lptE	outer membrane lipopolysaccharide transport and assembly complex - LptE subunit	characterized	characterized	9.28573025572E-05	1.00	N.A.	N.A.	N.A.	E	N	u	LPS assembly OM complex LptDE, lipoprotein component	Membrane; Macromolecule synthesis, modification: Lipoprotein	LPS assembly OM complex LptDE, LPS-binding lipoprotein component	Cell structure membrane 	lipopolysaccharide transport
Yes	No		EG11008	tolB	TolB	characterized	characterized	7.44237001061E-05	1.00	0.405	0.284	0.292	N	N	u	periplasmic protein	Factor; Colicin-related functions	Uptake of group A colicins, mutants are tolerant to colicins E1-3, A, and K	Cell structure membrane 	protein import
Yes	Yes	['PROTON // Drugs', 'PROTON // Drugs', 'PROTON // Drugs', 'PROTON // Drugs', 'ENTEROBACTIN', 'ATP // WATER // Macrolide-Antibiotics // Pi // ADP', 'PROTON // Drugs', 'CPD-15189 // PROTON', 'PROTON // Drugs', 'PROTON // Drugs']	EG11009	tolC	TolC monomer	characterized	characterized	6.85352143537E-05	1.00	0.782	0.367	0.441	N	N	N	transport channel	Putative membrane; Cell division	Outer membrane factor (OMF) of tripartite efflux pumps; channel-tunnel spanning the outer membrane and periplasm; trimeric; ColE1 tolerance	Cell structure membrane 	response to organic cyclic compound
Yes	No	['Lipopolysaccharides']	EG11569	lptD	outer membrane lipopolysaccharide transport and assembly complex - LptD subunit	characterized	characterized	4.87093349855E-05	1.00	N.A.	N.A.	N.A.	E	E	u	LPS assembly OM complex LptDE, beta-barrel component	Phenotype; Adaptations, atypical conditions	LPS assembly OM complex LptDE, beta-barrel component	Cell structure membrane 	lipopolysaccharide transport
Can add reaction	No	['CHITOBIOSE']	G6370	chiP	chitobiose outer membrane porin	characterized	characterized	3.0747303274E-07	0.09	0.808	0.379	0.454	N	u	u	chitoporin, uptake of chitosugars	Null	Chitoporin, uptake of chitosugars; repressed by chiX(micM) sRNA	Cell structure membrane 	chitin metabolic process
Can add reaction	No	['GLY // CPD-17926 // CPD-17969 // D-ALANINE', 'WATER // CPD-17926 // CPD-17968 // D-ALANINE', 'CPD-17931 // EG10544-MONOMER // D-ALANINE // CPD0-1171']	G6422	ybiS	L,D-transpeptidase YbiS	characterized	unknown	4.29788133387E-05	1.00	0.715	0.367	0.448	N	N	u	NA	NA	NA	Cell structure membrane 	peptidoglycan-protein cross-linking
Can add reaction	No	['WATER // CPD0-1080 // CPD0-1081 // CPD0-1082']	G6452	amiD	anhydro-N-acetylmuramoyl-L-alanine amidase	characterized	characterized	9.60251086631E-06	0.97	0.774	0.293	0.33	E	N	N	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein	Putative regulator; Not classified	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; verified OM lipoprotein	Cell structure membrane 	N/A
Can add reaction	No	['CPD-17931 // CPD-17927 // CPD-17932 // D-ALANINE', 'WATER // CPD-17927 // CPD-17926 // D-ALANINE', 'C6 // CPD-17927 // UNDECAPRENYL-DIPHOSPHATE']	G6565	lpoB	outer membrane lipoprotein - activator of PBP1B activity	characterized	characterized	3.83308748716E-05	1.00	0.592	0.356	0.341	N	u	u	OM lipoprotein stimulator of MrcB transpeptidase	Null	OM lipoprotein stimulator of MrcB transpeptidase	Cell structure membrane 	N/A
Can add reaction	No	['GLY // CPD-17926 // CPD-17969 // D-ALANINE', 'WATER // CPD-17926 // CPD-17968 // D-ALANINE', 'CPD-17931 // EG10544-MONOMER // D-ALANINE // CPD0-1171']	G6571	ycfS	L,D-transpeptidase YcfS	characterized	unknown	0.000003072	0.69	0.625	0.314	0.419	N	u	u	NA	NA	NA	Cell structure membrane 	peptidoglycan-protein cross-linking
Can add reaction	No	['GLY // CPD-17926 // CPD-17969 // D-ALANINE', 'WATER // CPD-17926 // CPD-17968 // D-ALANINE', 'CPD-17931 // EG10544-MONOMER // D-ALANINE // CPD0-1171']	G7073	erfK	L,D-transpeptidase ErfK	characterized	characterized	7.19455797228E-06	0.88	0.713	0.242	0.325	N	N	N	NA	NA	NA	Cell structure membrane 	peptidoglycan-protein cross-linking
Yes	No		G7107	wza	lipoprotein required for capsular polysaccharide translocation through the outer membrane	characterized	characterized	2.9189612596E-07	0.13	0.848	0.2	0.23	N	N	N	colanic acid export protein; outer membrane auxillary lipoprotein	Transport; Not classified	Colanic acid export channel lipoprotein; outer membrane auxillary protein	Cell structure membrane 	capsule polysaccharide biosynthetic process
Can add reaction	No	['CPD-17931 // CPD-17927 // CPD-17932 // D-ALANINE', 'WATER // CPD-17927 // CPD-17926 // D-ALANINE', 'C6 // CPD-17927 // UNDECAPRENYL-DIPHOSPHATE']	G7642	lpoA	outer membrane lipoprotein - activator of PBP1A activity	characterized	characterized	0.000025357	1.00	0.743	0.473	0.581	N	u	N	OM lipoprotein stimulator of MrcA transpeptidase	Factor; Not classified	OM lipoprotein stimulator of MrcA transpeptidase	Cell structure membrane 	N/A
Can add reaction	No	['C6 // CPD-17927 // UNDECAPRENYL-DIPHOSPHATE']	G7668	mtgA	biosynthetic peptidoglycan transglycosylase	characterized	characterized	1.71081243231E-05	0.97	0.805	0.241	0.26	N	u	N	biosynthetic peptidoglycan transglycosylase	Putative enzyme; Not classified	Monofunctional peptidoglycan glycosyltransferase; monofunctional biosynthetic peptidoglycan transglycosylase; GTase; TGase	Cell structure membrane 	Gram-negative-bacterium-type cell wall biogenesis
Yes	Yes	['ETHANOL-AMINE // AMMONIUM // ACETALD']	EG50006	eutB	ethanolamine ammonia-lyase	characterized	characterized	2.38789448845E-05	1.00	0.721	0.341	0.476	N	u	N	ethanolamine ammonia-lyase, large subunit, heavy chain	Enzyme; Degradation of small molecules: Amines	Ethanolamine ammonia lyase, large subunit, adenosylcobalamine-dependent; concerted induction requires both B12 and ethanolamine; heterodimeric	Cell structure microcompartment protein	N/A
Yes	Yes	['ETHANOL-AMINE // AMMONIUM // ACETALD']	EG50007	eutC	ethanolamine ammonia-lyase	characterized	characterized	4.61361725881E-06	0.84	0.776	0.333	0.355	N	u	N	ethanolamine ammonia-lyase, small subunit (light chain)	Enzyme; Degradation of small molecules: Amines	Ethanolamine ammonia lyase, small subunit, adenosylcobalamine-dependent; concerted induction requires both B12 and ethanolamine; heterodimeric	Cell structure microcompartment protein	N/A
Yes	No	['S-ADENOSYLMETHIONINE // Protein-alpha-L-Glutamates // protein-L-glutamate-O4-methyl-ester // ADENOSYL-HOMO-CYS', 'TAP-GLU // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // TAP-GLUME', 'TAR-GLU // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // TAR-GLUME', 'TRG-GLU // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // TRG-GLUME', 'TSR-GLU // S-ADENOSYLMETHIONINE // ADENOSYL-HOMO-CYS // TSR-GLUME']	EG10148	cheR	chemotaxis protein methyltransferase	characterized	characterized	5.09685847132E-05	1.00	0.707	0.316	0.446	E	N	N	chemotaxis regulator, protein-glutamate methyltransferase	Enzyme; Chemotaxis and mobility	Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters	Chemotaxis 	N/A
Can add reaction	No	['ATP // CPD0-1032 // EF-P-L-lysine // EF-P-lysyl-lysine // AMP // PPI // PROTON', 'ATP // CPD0-1032 // EG12099-MONOMER // MONOMER0-4200 // AMP // PPI']	EG11211	epmA	EF-P-lysine lysyltransferase	characterized	characterized	1.72624723627E-06	0.41	0.612	0.231	0.205	E	u	N	Elongation Factor P Lys34 lysyltransferase	Enzyme; Protein modification	Elongation Factor P Lys34 lysyltransferase; required for EF-P-mediated translation of polyprolines	Covalent modification regulation 	protein-lysine lysylation
Can add reaction	No	['UTP // Gln-B // URIDYLYL-PROTEIN-PII // PPI', 'WATER // URIDYLYL-PROTEIN-PII // Gln-B // UMP', 'UTP // PROTEIN-PII2 // PPI // URIDYLYL-PII2']	EG11411	glnD	protein-PII uridylyltransferase	characterized	characterized	0.000017146	1.00	0.506	0.373	0.316	E	N	N	uridylyltransferase	Enzyme; Amino acid biosynthesis: Glutamine	Bifunctional uridylyltransferase/uridylyl-removing enzyme; (UTase/UR); controls uridylylation state and activity of PII(GlnB)	Covalent modification regulation 	N/A
Yes	No	['ATP // ACET // HOLO-CITRATE-LYASE // CITRATE-LYASE // PPI // AMP']	G6344	citC	citrate lyase synthetase	characterized	characterized	1.62167311959E-07	0.09	0.76	0.446	0.452	N	u	u	citrate lyase ligase; [citrate [pro-3S]-lyase] ligase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Citrate lyase ligase; [citrate [pro-3S]-lyase] ligase	Covalent modification regulation 	N/A
Can add reaction	No	['WATER // NAD // CPD3O-0 // Protein-L-lysine // CPD-14762 // NIACINAMIDE', 'WATER // NAD // MONOMER0-4170 // CHEY-MONOMER // CPD-14762 // NIACINAMIDE']	G6577	cobB	protein deacetylase	characterized	characterized	1.54447639738E-05	1.00	0.803	0.225	0.206	N	u	N	deacetylase of acs and cheY, chemotaxis regulator	Null	Protein lysine deacetylase, NAD(+)-dependent; chemotaxis regulator; protein lysine desuccinylase; sirituin homolog	Covalent modification regulation 	protein deacetylation
Yes	No	['LYS // CPD0-1032']	G7836	epmB	lysine 2,3-aminomutase	characterized	characterized	1.94255448111E-05	1.00	0.774	0.242	0.313	?	u	N	EF-P-Lys34 lysylation protein; weak lysine 2,3-aminomutase	Enzyme; Protein modification	Required for lysylation of EF-P Lys34; weak lysine 2,3-aminomutase activity; required for EF-P-mediated translation of polyprolines	Covalent modification regulation 	post-translational protein modification
Yes	No	['C6']	EG10344	ftsW	essential cell division protein FtsW; lipid II flippase	characterized	characterized	1.20942359333E-05	0.97	N.A.	N.A.	N.A.	E	E	u	putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer	Membrane; Cell division	Putative lipid II flippase; divisome protein recruiting FtsI; SEDS protein	Cytokinesis 	lipid-linked peptidoglycan transport
Can add reaction	No	['WATER // Single-Stranded-DNAs // Ribonucleoside-Monophosphates // SS-Oligodeoxyribonucleotides']	EG11072	xseA	exonuclease VII	characterized	characterized	1.9613753705E-05	1.00	0.83	0.297	0.28	N	N	N	exonuclease VII, large subunit	Enzyme; Degradation of DNA	Exonuclease VII, large subunit	DNA decay 	N/A
Can add reaction	No	['WATER // Single-Stranded-DNAs // Ribonucleoside-Monophosphates // SS-Oligodeoxyribonucleotides']	EG11098	xseB	exonuclease VII	characterized	characterized	7.83989488256E-05	1.00	0.822	0.197	0.173	?	N	u	exonuclease VII small subunit	Enzyme; Degradation of DNA	Exonuclease VII, small subunit	DNA decay 	N/A
Can add reaction	No	['S-ADENOSYLMETHIONINE // DNA-Adenines // ADENOSYL-HOMO-CYS // DNA-Containing-N6-Methyladenine // PROTON']	EG10204	dam	DNA adenine methyltransferase	characterized	characterized	2.66421753215E-05	1.00	0.416	0.192	0.144	N	N	N	DNA adenine methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	DNA-(adenine-N6)-methyltransferase, methylates GATC; role in repair and replication	DNA methylation 	DNA methylation on adenine
Can add reaction	No	['S-ADENOSYLMETHIONINE // DNA-Cytosines // 5-Methylcytosine-DNA // ADENOSYL-HOMO-CYS // PROTON']	EG10211	dcm	DNA-cytosine methyltransferase	characterized	characterized	1.25770802214E-05	0.97	0.658	0.341	0.458	E	N	u	DNA cytosine methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	DNA cytosine methyltransferase; internal cytosine methylated	DNA methylation 	C-5 methylation of cytosine
Can add reaction	No	['DNA-6-O-Methyl-Guanines // PROT-CYS // Protein-S-methyl-L-cysteine // DNA-Guanines', 'PROT-CYS // CPD-19186 // a-thymine-in-DNA // Protein-S-methyl-L-cysteine']	EG10668	ogt	O6-alkylguanine-DNA-alkyltransferase	characterized	characterized	2.99253961974E-06	0.72	0.629	0.342	0.412	X	N	u	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	O6-methylguanine-DNA methyltransferase, constitutive	DNA methylation 	DNA methylation
Can add reaction	No	['S-ADENOSYLMETHIONINE // DNA-Adenines // ADENOSYL-HOMO-CYS // DNA-Containing-N6-Methyladenine // PROTON']	EG11498	yhdJ	DNA adenine methyltransferase	characterized	unknown	1.16009155225E-06	0.38	0.74	0.401	0.363	N	u	u	DNA adenine methyltransferase, SAM-dependent	Putative enzyme; Not classified	DNA adenine methyltransferase, SAM-dependent	DNA methylation 	DNA methylation on adenine
Can add reaction	No	['2-KETOGLUTARATE // OXYGEN-MOLECULE // Methylated-DNA-Bases // Nucleobases-in-DNA // CARBON-DIOXIDE // FORMALDEHYDE // SUC', '2-KETOGLUTARATE // OXYGEN-MOLECULE // 1-ETHYLADENINE // ADENINE // CARBON-DIOXIDE // ACETALD // SUC', '2-KETOGLUTARATE // OXYGEN-MOLECULE // N1-METHYLADENINE // ADENINE // CARBON-DIOXIDE // FORMALDEHYDE // SUC', '2-KETOGLUTARATE // OXYGEN-MOLECULE // N3-METHYLCYTOSINE // PROTON // CYTOSINE // CARBON-DIOXIDE // FORMALDEHYDE // SUC']	EG10037	alkB	AlkB repair system for alkylated DNA and RNA	characterized	characterized	1.19426042396E-06	0.25	0.781	0.278	0.352	N	N	N	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions	Putative enzyme; DNA - replication, repair, restriction/modification	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA	DNA repair 	oxidative single-stranded DNA demethylation
Can add reaction	No	['WATER // DNA-With-GO // CPD-12427 // DNA-containing-aPurinic-Sites', 'WATER // DNA-containing-diamino-hydro-formamidops // CPD-16491 // DNA-containing-aPurinic-Sites']	EG10329	mutM	formamidopyrimidine DNA glycosylase	characterized	characterized	0.000001726	0.56	0.765	0.23	0.25	N	N	N	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	Enzyme; DNA - replication, repair, restriction/modification	Formamidopyrimidine-DNA glycosylase/AP lyase; 5'-terminal deoxyribophosphodiesterase; DNA repair; GC to TA; binds Zn(II)	DNA repair 	base-excision repair AP site formation
Can add reaction	No	['DNA-Ligase-L-lysine // NAD // DNA-Ligase-L-lysine-adenylate // NICOTINAMIDE_NUCLEOTIDE // PROTON', 'PROTON // 5-Phospho-terminated-DNAs // DNA-Ligase-L-lysine-adenylate // A-5-prime-PP-5-prime-DNA // DNA-Ligase-L-lysine', 'NAD // 5-Phospho-terminated-DNAs // 3-Hydroxy-Terminated-DNAs // DNA-N // AMP // NICOTINAMIDE_NUCLEOTIDE // PROTON', '3-Hydroxy-Terminated-DNAs // A-5-prime-PP-5-prime-DNA // DNA-N // AMP // PROTON']	EG10534	ligA	DNA ligase	characterized	characterized	5.24363884761E-06	0.88	N.A.	N.A.	N.A.	E	E	u	DNA ligase, NAD(+)-dependent	Enzyme; DNA - replication, repair, restriction/modification	DNA ligase A, NAD(+)-dependent	DNA repair 	DNA ligation
