Downloaded smart table from ecocyc for all compounds with added column for common name
"Compound"	"Common-Name"
CPD-12824	"cardiolipin (tetrahexadecanoyl, n-C16:0)"
CPD-15688	"(3Z,5E)-dodec-3,5-dienoyl-CoA"
SUC	"succinate"
MALEATE	"maleate"
ENOL-OXALOACETATE	"enol-oxaloacetate"
CPD-13406	"glycyl-L-aspartate"
OXALACETIC_ACID	"oxaloacetate"
CPD-13393	"glycyl-L-methionine"
FUM	"fumarate"
CPD-3569	"glycyl-L-glutamate"
CPD-13394	"glycyl-L-glutamine"
CPD-3573	"methyl pyruvate"
GLYCYLGLYCINE	"glycyl-glycine"
CPD-13395	"glycyl-L-asparagine"
CPD-10814	"glycyl-L-proline"
CPD0-1906	"FMDP-L-leucine"
CPD0-1910	"FMDP-L-phenylalanine"
CPD0-1907	"L-lysyl-FMDP"
CPD0-1911	"FMDP-L-valine"
CPD0-1908	"L-methionyl-FMDP"
CPD0-1913	"L-tyrosyl-FMDP"
CPD-8902	"D-lyxonate"
CPD-13944	"L-alanosine"
CPD0-2468	"3,4,4-trihydroxy-5-phosphooxypentan-2-one"
CPD-722	"<I>d</I>-biotin <I>d</I>-sulfoxide"
CPD0-1909	"L-norvalyl-FMDP"
CPD0-2359	"dihydrooxonate"
CPD-606	"CDP-glycerol"
CARNOSINE	"carnosine"
CPD-13243	"geranyl monophosphate"
CPD0-2278	"two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
CPD0-1445	"L-alanyl-L-glutamate"
CPD-535	"&beta;-D-fructose 2,6-bisphosphate"
CPD-10775	"(2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
CPD-13401	"L-alanyl-L-histidine"
CPD0-2212	"two disacharide linked murein units, pentapeptide crosslinked tripeptide (A2pm->A2pm) (middle of chain)"
CPD-3734	"thiophosphate"
ALA-GLY	"L-alanyl-glycine"
CHLORATE	"chlorate"
CPD0-2133	"2-acyl-sn-glycero-3-phosphoglycerol (n-C18:0)"
CPD0-1944	"L-alanyl-D-aspartate"
CPD-313	"propane-1,3-diamine"
CPD-13403	"L-alanyl-L-glutamine"
ANTHRANILATE	"anthranilate"
CPD-12301	"nisin"
CPD0-2072	"&beta;-alanyl-L-lysyl-<i>N</i>-&epsilon;-7-amino-4-methylcoumarin-3-acetate"
CPD-13397	"L-alanyl-L-threonine"
CPD-20893	"<i>N</i>-oxalylglycine"
CPD-19319	"daptomycin"
8-AMINO-7-OXONONANOATE	"8-amino-7-oxononanoate"
CPD0-2190	"L-alanyl-D-glutamate"
CPD0-2038	"fluorofumarate"
CPD0-2603	"enduracidin"
CPD-18238	"carboxyphosphate"
5-KETO-4-DEOXY-D-GLUCARATE	"5-dehydro-4-deoxy-D-glucarate"
CPD-13404	"L-alanyl-L-aspartate"
CPD0-1940	"DL-methionine sulfone"
CPD-14445	"1,4-bis-{[N-(1-imino-1-guanidino-methyl)]sulfanylmethyl}-3,6-dimethyl-benzene"
CPD-13398	"L-alanyl-L-leucine"
34-DIHYDROXYPHENYLACETYL-COA	"3,4-dihydroxyphenylacetyl-CoA"
CPD0-1883	"5'-O-[N-(L-glutamyl)-sulfamoyl] adenosine"
CPD0-2555	"L-leucyl-glycine"
CPD-13321	"3-octen-2-one"
25-DIDEHYDRO-D-GLUCONATE	"2,5-didehydro-D-gluconate"
CYS-GLY	"L-cysteinylglycine"
CPD0-1717	"2-amino-6-carboxamido-7,8-dihydropteridin-4-one"
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	"2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA"
D-ALA-D-ALA	"D-alanyl-D-alanine"
CPD0-1681	"cycloheptadienyl"
CPD0-1646	"&alpha;-D-galactosamine-1-phosphate"
CPD-13390	"L-methionyl-L-alanine dipeptide"
S-ADENOSYLMETHIONINAMINE	"<i>S</i>-adenosyl 3-(methylsulfanyl)propylamine"
CPD0-2649	"L-methionyl-L-proline dipeptide"
CPD0-1605	"4-deoxypyridoxine"
PHOSPHORYL-ETHANOLAMINE	"<i>O</i>-phosphoethanolamine"
CPD-12457	"taurodeoxycholate"
CPD0-1082	"L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanine"
CPD0-1571	"L-thiazolidine-4-carboxylate"
OH-PYR	"hydroxypyruvate"
DEOXYCHOLATE	"deoxycholate"
CPD0-1620	"efrapeptin F"
CPD0-1512	"N-acetylglucosaminolactone"
METHYLNICOTINATE	"trigonelline"
CPD-15189	"chenodeoxycholate"
CPD0-1085	"L-alanyl-&gamma;-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
CPD0-1484	"S-adenosyl-L-(2 hydroxyl-4-methylthio)butanoate"
KOJIC-ACID	"kojic acid"
CPD-3743	"taurocholate"
CPD-15384	"L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanyl-D-alanine"
CPD0-1438	"diimidotriphosphate"
HYDROXY-METHYL-BUTENYL-DIP	"(<i>E</i>)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate"
CHOLATE	"cholate"
CPD0-1401	"5'-(aminoiminomethyl)amino-5'-deoxyadenosine"
FMPP	"FMPP"
CPD-7283	"taurochenodeoxycholate"
CPD0-1329	"N-acetylmuramate(beta-methyl)-L-alanyl-D-glutamate"
CPD0-2650	"L-methionyl-L-prolyl-L-alanine tripeptide"
DIISOPROPYL-PHOSPHATE	"diisopropyl phosphate"
XANTHINE	"xanthine"
CPD0-2651	"L-methionyl-L-alanyl-L-alanine tripeptide"
CPD0-1246	"D,L-cyclohexanephosphinothricin"
CPD0-1965	"N&alpha;,N&epsilon;-diacetyl-lysyl-D-alanyl-D-alanine"
DEHYDROQUINATE	"3-dehydroquinate"
CPD0-1160	"3,5-<i>cis</i>-dodecadienoyl-CoA"
CPD-6366	"DIMBOA"
CPD0-954	"1,4-naphthoquinone"
L-ALA-GAMMA-D-GLU-DAP	"L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-diaminopimelate"
CPD0-1081	"<i>N</i>-acetyl-&beta;-D-glucosamine-1,6-anhydro-<i>N</i>-acetyl-&beta;-D-muramate"
CPD0-2628	"2-((2-bromoethyl)-2-{[(2-hydroxyethyl)amino]carbonyl}-4,6-dinitroanilino)ethyl methanesulfonate"
CPD0-2056	"norophthalmate"
CPD-9924	"2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate"
CPD0-2528	"4-ethoxyaniline"
CPD0-2518	"(acetamidomethyl)phosphonate"
CPD-8819	"2,2'-dipyridyl"
CPD0-2464	"TpGc"
CPD-6982	"(R)-3-(3,4-dihydroxyphenyl)lactate"
CPD0-2347	"adeninylpentylcobalamin"
CPD-593	"methylguanidinium"
CPD-12796	"2,2'-azino-bis-(3-ethylbenzothiazoline-6-sulfonate)"
CPD0-2275	"adenosine tetraphosphopyridoxal"
CPD0-2472	"(<i>R</i>)-NADHX"
CPD-476	"4-(2-aminophenyl)-2,4-dioxobutanoate"
CPD-1063	"5-(methylsulfanyl)-ribulose 1-phosphate"
CPD-653	"(<i>S</i>)-NADHX"
CPD0-2195	"3-<i>sn</i>-phosphatidyl-1'-(3'-acyl)-glycerol (n-C18:0)"
CPD-3662	"2-phthalimidoglutarate"
CPD-14133	"(<i>R</i>)-NADPHX"
CARBON-MONOXIDE	"carbon monoxide"
CPD0-2096	"6,7-dihydromonapterin"
CPD0-2474	"(<i>S</i>)-NADPHX"
CPD-2841	"azide"
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	"4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine"
DEMETHYLMENAQUINONE	"2-demethylmenaquinone-<i>8</i>"
CPD0-2069	"cefuroxime"
CPD-205	"pimelate"
UBIQUINONE-8	"ubiquinone-<i>8</i>"
6R-6-FLUORO-EPSP	"(6R)-6-fluoro-5-enolpyruvoylshikimate 3-phosphate"
CPD0-2022	"2'-methoxythiamine pyrophosphate"
UBIQUINONE-10	"ubiquinone-<i>10</i>"
CPD-17574	"tetramethoxy azobismethylene quinine"
5-DEHYDROGLUCONATE	"5-dehydro-D-gluconate"
UBIQUINONE-2	"ubiquinone-2"
CPD0-1937	"3-O-methyl-d-glucose"
CPD-14332	"prenyl phosphate"
CPD0-1118	"ubiquinone-1"
3-MERCAPTO-PYRUVATE	"3-mercaptopyruvate"
CPD0-1811	"1-monopalmitoylethylene glycol"
UBIQUINONE-6	"ubiquinone-<i>6</i>"
2-PROTOCATECHUOYLPHLOROGLUCINOLCARBOXYLA	"2-protocatechuoylphloroglucinolcarboxylate"
CPD0-1711	"5-(chloromercuri)cytidine"
CPD0-1464	"ubiquinone-0"
15-ANHYDRO-D-GLUCITOL	"1,5-anhydro-D-glucitol"
CPD0-1669	"&beta; -methyl maltoside"
TEREPHTHALATE	"terephthalate"
CPD0-1635	"formycin 5'-PO4"
RIBOSE-TRIPHOSPHATE	"D-ribose 5-triphosphate"
CPD0-1598	"moiramide B"
PHMB	"p-hydroxymercuribenzoate"
CPD0-1555	"3-methylphosphoenolpyruvate"
NICOTINATE_NUCLEOTIDE	"&beta;-nicotinate D-ribonucleotide"
CPD0-1501	"(2S,3R,6S)-3-fluoro-2,6-diaminopimelate"
MESO-TARTRATE	"<i>meso</i>-tartrate"
CPD0-1477	"dianisidine"
ISOVALERATE	"isovalerate"
CPD0-1432	"N-benzylbenzamidine"
HISTIDINOL	"histidinol"
CPD0-1397	"ethylglyoxalbis(guanylhydrazone)"
ETHYL-2R-METHYL-3S-HYDROXYBUTANOATE	"ethyl-(2R)-methyl-(3S)-hydroxybutanoate"
CPD0-1324	"P1-uridyl-P2-phenyl diphosphate"
DIHYDROXYNAPHTHOATE	"1,4-dihydroxy-2-naphthoate"
TRIS	"tris"
CPD0-1237	"<i>N</i>-3-fumaroyl-L-2,3-diaminopropanoate"
DE-O-GLUCONATE	"2-deoxygluconate"
CPD0-1153	"<i>N</i>-heptylpantothenamide"
CPD0-918	"L-histidine hydroxamate"
CPD0-1059	"<i>N</i>-methyl-L-valine"
CPD0-2588	"anthraquinone-2,6-disulfonate"
CPD-9451	"2-isopropylmaleate"
CPD0-2497	"nitrofurazone"
CPD-822	"N<sup>2</sup>-succinyl-L-glutamate 5-semialdehyde"
CPD0-2414	"1-hydroxy-2-butanone"
CPD-678	"hydrogen selenide"
CPD0-2337	"2,3-dimethyl-1,4-naphthoquinone"
CPD-5742	"amobarbital"
CPD-12334	"D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose 1,7-bisphosphate"
CPD0-2267	"&alpha;-ethyl-L-glutamate"
CPD-469	"<i>N</i>-acetyl-L-glutamate 5-semialdehyde"
CPD-10322	"dicyclohexylcarbodiimide"
CPD0-2182	"L-prolinylglycine"
CPD-3621	"methyl D-lactate"
CAFFEOYLQUINATE	"<i>trans</i>-5-O-caffeoyl-D-quinate"
CPD0-2090	"methyl phenyl sulfoxide"
CPD-2483	"L-cycloserine"
D-LACTATE	"(<i>R</i>)-lactate"
ALPHA-RIBAZOLE-5-P	"&alpha;-ribazole 5'-phosphate"
L-LACTATE	"(<i>S</i>)-lactate"
CPD0-2065	"enalapril"
CPD-3564	"(S)-2-hydroxybutanoate"
CPD-19395	"&gamma;-L-glutamyl-glycylglycine"
6-DEOXY-D-GLUCOSE	"6-deoxy-D-glucose"
CPD0-2019	"2&beta;-deoxy Kdo"
PUROMYCIN	"puromycin"
CPD-16843	"4-pregnen-20,21-diol-3-one"
5-AMINO-LEVULINATE	"5-aminolevulinate"
CPD0-1919	"Sb<sub>3</sub>H<sub>3</sub>O<sub>6</sub>"
CPD-13930	"(<i>Z</i>)-2-methyl-peroxyaminoacrylate"
3-HYDROXY-PROPIONATE	"3-hydroxypropanoate"
CPD0-1809	"1,2-di-<i>S</i>-octyl-1,2-dimercapto-3-propanol"
2-KETO-3-DEOXY-D-GLUCARATE	"(2S,3S)-2,3-dihydroxy-5-oxohexanedioate"
CPD0-1700	"dehydrolysine"
1-KETO-2-METHYLVALERATE	"(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate"
CPD0-1662	"&alpha;-monofluoromethylarginine"
CPD-541	"<i>sn</i>-glycero-3-phospho-1-inositol"
SUCCINYL-OH-CYCLOHEXADIENE-COOH	"(1<i>S</i>,6<i>R</i>)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
CPD0-1626	"acetazolamide"
QUINOLINATE	"quinolinate"
CPD0-1304	"&beta;-D-galactopyranosyl trimethylammonium bromide"
CPD0-1590	"1-(p-butylphenyl)-2,2-dimethyl-4,6-diamino-1,2-dihydro-s-triazine"
CPD-18165	"2-phenylethyl &beta;-D-thiogalactopyranoside"
PAPS	"3'-phosphoadenylyl-sulfate"
CPD0-1302	"phenyl-1-thio-&beta;-D-galactopyranoside"
CPD0-1540	"L-2-amino-2-carboxyethane-sulfonamide"
N-SUCCINYLLL-2-6-DIAMINOPIMELATE	"<i>N</i>-succinyl-L,L-2,6-diaminopimelate"
CPD0-1498	"N-amino DAP"
LIPOL-AMP	"lipol-AMP"
CPD0-1473	"pteroyl-&gamma;-glutamyl-&gamma;-glutamylglutamate"
CPD-18379	"1-myristoyl-<i>sn</i>-glycerol 3-phosphate"
IPRONIAZID	"iproniazid"
1-PALMITOYLGLYCEROL-3-PHOSPHATE	"1-palmitoyl-<i>sn</i>-glycerol 3-phosphate"
CPD0-1428	"phenylalaninol"
CPD0-2200	"1-lauroyl-<i>sn</i>-glycerol 3-phosphate"
HCL	"HCl"
CPD-18348	"1-<i>cis</i>-vaccenoyl-<i>sn</i>-glycerol-3-phosphate"
CPD0-1375	"S-adenosyl-1,8-diamino-3-thiooctane"
ETHANAMINE	"ethylamine"
CPD0-1305	"conduritol C cis-epoxide"
DIHYDRO-DIOH-BENZOATE	"(2<i>S</i>,3<i>S</i>)-2,3-dihydroxy-2,3-dihydrobenzoate"
THIAMINE-PYROPHOSPHATE	"thiamine diphosphate"
MYO-INOSITOL	"<I>myo</I>-inositol"
CPD0-1231	"2-mercaptoglutarate"
D-GALACTOSYLAMINE	"D-galactosylamine"
CPD0-1144	"4-oxo-N-acetylneuraminate"
CPD-12253	"(<i>R</i>)-2-hydroxybutanoate"
CPD0-889	"<i>N</i>-(4-aminobenzoyl)-L-glutamate"
CPD0-1054	"adenylyl-imidodiphosphate"
CPD0-2576	"nitrobenzodiazepine"
CPD-9374	"L-alaninol"
CPD-9225	"cloxacillin"
CPD0-2491	"5-bromo-4-chloro-3-indolyl &beta;-galactoside"
CPD0-2521	"[(<i>S</i>)-1-aminoethyl]phosphonate"
CPD-7975	"2-<i>n</i>-heptyl-4-hydroxyquinoline-<i>N</i>-oxide"
CPD-19240	"[(1S)-1-acetamidoethyl]phosphonate"
CPD0-2383	"6-chloropurine"
CPD-19242	"[(1R)-1-acetamidoethyl]phosphonate"
CPD-656	"5-oxo-D-proline"
CPD-19243	"(2-acetamidoethyl)phosphonate"
CPD0-2306	"casuarine"
CPD-1106	"(2-aminoethyl)phosphonate"
CPD-5601	"<i>N</i>-monomethylethanolamine"
CPD0-2152	"1-stearoyl-<i>sn</i>-glycero-3-phosphoethanolamine"
CPD-11925	"citreoviridin"
CPD-8353	"1-palmitoyl-<i>sn</i>-glycero-3-phosphoethanolamine"
CPD0-2234	"iron(III)-aerobactin"
CPD0-2147	"1-myristoyl-<i>sn</i>-glycero-3-phosphoethanolamine"
CPD-4461	"plumbagin"
CPD0-2148	"1-lauroyl-<i>sn</i>-glycero-3-phosphoethanolamine"
CPD-10016	"FK-506"
CPD0-1076	"propylphosphonate"
CPD0-2165	"2-acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)"
CPD0-1074	"(aminomethyl)phosphonate"
CPD-3567	"Tween 40"
CPD-19241	"[(<i>R</i>)-1-aminoethyl]phosphonate"
BISOHMYR-GLUCOSAMINYL-1P	"lipid X (E. coli)"
CPD-18368	"phosphatidylethanolamine (1-cis-vaccenoyl, 2-palmitoleoyl)"
CPD0-2087	"pyridine-<i>N</i>-oxide"
CPD-8363	"2-16:0-lysophosphatidylglycerol"
CPD-22318	"Microcin J25"
CPD0-2173	"2-14:0-lysophosphatidylglycerol"
ALPHA-METHYLMETHIONINE	"&alpha;-methylmethionine"
CPD0-2207	"2-12:0-lysophosphatidylglycerol"
CPD0-2055	"5-(p-hydroxyphenyl)hydantoin"
CPD0-1068	"methylphosphonate"
CPD-19235	"&alpha;-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate"
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	"<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide"
CPD0-1075	"ethylphosphonate"
CPD0-2012	"&alpha;-picoline N-oxide"
CPD-157	"(2<i>Z</i>,4<i>E</i>)-2-hydroxy-6-oxonona-2,4-diene-1,9-dioate"
L-PHOSPHINOTHRICIN	"L-phosphinothricin"
4-P-PANTOTHENATE	"(<i>R</i>)-4'-phosphopantothenate"
CPD0-1914	"glycylsarcosine"
CPD-13912	"2-carboxy-L-<i>threo</i>-pentonate"
3-DEHYDRO-SHIKIMATE	"3-dehydroshikimate"
CPD0-1763	"1,2-dioctanoyl-3-methyl-1,2,3-butanetriol"
2-DEOXY-D-GLUCOSE-6-PHOSPHATE	"2-deoxy-D-glucose 6-phosphate"
CPD0-1690	"L-indospicine"
--TRANS-ACENAPHTHENE-12-DIOL	"(+/-)-<i>trans</i>-acenaphthene-1,2-diol"
GLYCO-CT-SULFATE	
CPD0-1659	"&alpha; -allenylagmatine"
SINEFUNGIN	"sinefungin"
GLYCO-CT-N-ACETYL	"GLYCO-CT-N-ACETYL"
CPD0-1616	"S-2,3-dicarboxyaziridine"
PYRAZOLE	"pyrazole"
GLYCO-CT-ACETYL	
CPD0-1585	"2,4-diamino-6-ethyl-5,3'-(2-trifluoromethylphenoxy)prop-1'-yloxypyrimidine"
D-CARNITINE	"D-carnitine"
PANTETHEINE-P	"4'-phosphopantetheine"
GLYCO-CT-N-SULFATE	"GLYCO-CT-N-SULFATE"
CPD0-1535	"(2S,3R,6S)-2,6-diamino-3-hydroxydiaminopimelate"
GLYCO-CT-AMINO	
N-ETHYLMALEIMIDE	"<i>N</i>-ethylmaleimide"
CPD0-1492	"ribavirin-5'-monophosphate"
CARBAMOYL-P	"carbamoyl phosphate"
GLYCO-CT-PHOSPHATE	
L-HISTIDINOL-P	"L-histidinol phosphate"
CPD0-1467	"gabaculine"
CPD-683	"cyclic 3',5'-cytidine monophosphate"
IMIDAZOLE-ACETOL-P	"3-(imidazol-4-yl)-2-oxopropyl phosphate"
GLYCO-CT-METHYL	
CPD0-1408	"5-deoxypyridoxal"
GLUTAMATE-1-SEMIALDEHYDE	"(S)-4-amino-5-oxopentanoate"
CPD0-1356	"(S)-farnesyl thiopyrophosphate"
C-DI-GMP	"cyclic di-3',5'-guanylate"
ECTOINE	"ectoine"
CPD0-1276	"cyclogutamate"
DIAMINONONANOATE	"7,8-diaminopelargonate"
CPD0-1220	"2-methylphosphinoyl-2-hydroxyacetate"
BUTYRYL-COA	"butanoyl-CoA"
D-BETA-D-HEPTOSE-1-P	"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1-phosphate"
CPD0-1129	"Microcin C"
PROPIONYL-COA	"propanoyl-CoA"
CPD0-881	"<i>N</i>-acetyl-D-muramate 6-phosphate"
CPD0-1038	"thiourea dioxide"
CPD0-2559	"2-hydroxycyclohepta-1,4,6-triene-1-carboxylate"
CPD-9051	"2-deoxy-2-amino glucitol-6-phosphate"
CPD0-2479	"&alpha;-D-ribose-1-methylphosphonate-5-triphosphate"
CPD-7656	"clorgyline"
CPD-18394	"phosphatidylglycerol (1-cis-vaccenoyl, 2-palmitoleoyl)"
CPD0-2367	"5-fluorouridine"
CPD-20861	"1-palmitoyl-2-myristoyl-<i>sn</i>-glycero-3-phosphocholine"
CPD-62	"(2,3-dihydroxybenzoyl)adenylate"
CPD0-2290	"O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate"
CPD-5541	"phenylmethanesulfonyl fluoride"
CPD-11551	"&beta;-L-aspartylhydroxamate"
CPD0-2218	"cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo"
L-1-LECITHIN	"1,2-distearoyl-<i>sn</i>-glycero-3-phosphocholine"
CPD-421	"N<SUP>2</SUP>-succinyl-L-arginine"
CO3	"carbonate"
CPD0-2153	"undecaprenyl phosphate-4-amino-4-formyl-L-arabinose"
CPD-347	"1,3-propanediol"
BERBERINE	"berberine"
CPD0-2506	"sodium tetraborate decahydrate"
CPD0-2084	"3-picoline N-oxide"
CPD-21336	"2-chlorophenylhydrazine"
CPD0-2391	"potassium sulfate"
ACETOL	"hydroxyacetone"
CPD0-2051	"6,7-dihydroneopterin"
CPD-18499	"magnesium hydrogenphosphate"
CPD-18809	"a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-glycine) tetrapeptide"
CPD0-1421	"potassium dihydrogen phosphate"
5-OXOPROLINE	"5-oxo-L-proline"
CPD0-2503	"diammonium hydrogen phosphate"
CPD0-1951	"3-mercapto-1,2-propanediol"
CPD0-2412	"disodium hydrogenphosphate"
CPD-15358	"<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine dimer"
CPD0-2387	"magnesium sulfate heptahydrate"
4-HYDROXYBENZALDEHYDE	"4-hydroxybenzaldehyde"
CUSO4	"copper sulfate"
CPD0-1898	"UDP-6-deoxy-&alpha;-D-galactose"
NH4CL	"ammonium chloride"
CPD-13898	"pargyline"
CPD0-1608	"manganese(II) sulfate"
3-AMINOPROPYL-METHYL-PHOSPHINATE	"3-aminopropyl-methyl-phosphinate"
CPD0-2432	"sodium dihydrogen phosphate"
CPD0-1760	"1,2-dioctanoyl-1,2,4-butanetriol"
CPD0-2420	"zinc sulfate heptahydrate"
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	"(2<i>R</i>,3<i>S</i>)-3-isopropylmalate"
CPD0-1695	"cobalt chloride"
CPD0-1685	"N<SUP>1</SUP>, N<SUP>8</SUP>-bis(ethyl)spermidine"
NA2SO4	"sodium sulfate"
CPD0-1653	"N(6)-methylformycin A"
CPD-1302	"5-methyltetrahydropteroyl tri-L-glutamate"
SEPO3	"selenophosphate"
METHYLENE-THF	"5,10-methylenetetrahydropteroyl mono-L-glutamate"
CPD0-1612	"4-deoxy-D-glucarate"
CPD-12996	"5,10-methylenetetrahydropteroyl tri-L-glutamate"
PREPHENATE	"prephenate"
CPD-18401	"phosphatidylserine (1,2-dimyristoyl)"
CPD0-1578	"1,2-diaminopropanoate"
CPD-18364	"phosphatidylserine (1-cis-vaccenoyl, 2-palmitoleoyl)"
P-BENZOQUINONE	"1,4-benzoquinone"
CPD-12816	"phosphatidylserine (dioctadecanoyl, n-C18:0)"
CPD0-1530	"(2R,3R,6S)-3-fluoro-2,6-diaminopimelate"
CPD-18402	"phosphatidylserine (1-myristoyl, 2-palmitoleoyl)"
N-ACETYL-GLUTAMYL-P	"<i>N</i>-acetylglutamyl-phosphate"
CPD-18365	"phosphatidylserine (1-palmitoyl, 2-cis-vaccenoyl)"
CPD0-1489	"4-methylanthranilate"
CPD-12817	"1,2-dipalmitoyl-phosphatidylserine"
L-DEHYDRO-ASCORBATE	"L-dehydro-ascorbate"
CPD-18366	"phosphatidylserine (1,2-dicis-vaccenoyl)"
CPD0-1458	"1,3-propanediol-P"
CPD-18363	"phosphatidylserine (1-palmitoyl, 2-palmitoleoyl)"
HYDROXYPROPANAL	"3-hydroxypropanal"
5-METHYL-THF	"5-methyltetrahydropteroyl mono-L-glutamate"
CPD0-1405	"9-[6(RS)-C-carboxamido-5,6,7-trideoxy-&beta;-D-ribo-octofuranosyl]-9H-purin-6-amine"
CPD0-2507	"calcium chloride dihydrate"
GAMMA-GLUTAMYL-PUTRESCINE	"&gamma;-glutamyl-L-putrescine"
5-FORMYL-THF	"(6<i>S</i>)-5-formyl-tetrahydrofolate mono-L-glutamate"
CPD0-1338	"UDP-<i>N</i>-acetyl-&beta;-D-muramate"
CPD0-2393	"zinc sulfate"
DIMETHYLSULFONIOACETATE	"thetin"
CPD0-1262	"2-mercaptosuccinate"
CPD-18500	"calcium hydrogenphosphate"
DETHIOBIOTIN	"dethiobiotin"
CPD-21260	"3-deoxy-D-glycero-&alpha;-D-galacto-nonulosonate"
CPD0-1198	"L-lyxonate"
CPD0-2504	"copper sulfate pentahydrate"
CROTONATE	"crotonate"
CPD-21259	"3-deoxy-D-glycero-&beta;-D-galacto-nonulosonate"
CPD0-1102	"phosphoglycolohydroxamate"
CPD0-2389	"disodium hydrogenphosphate heptahydrate"
CPD0-2669	"1-<i>O</i>-methyl-&alpha;-D-glucose"
CPD-21261	"3-deoxy-&beta;-D-<i>manno</i>-2-octulosonate"
CPD0-1035	"<i>N</i><sup>2</sup>-hydroxyguanosine 5'-monophosphate"
NaF	"sodium fluoride"
CPD0-2552	"m<sup>7</sup>GTP"
KDO	"3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate"
CPD-8979	"succinamate"
CPD0-2433	"dipotassium hydrogen phosphate"
CPD0-2475	"methyl-2,3-dihydroxyphenylpropanoate"
CPD-7388	"<i>p</i>-mercuribenzoate"
CPD0-1696	"nickel sulphate"
CPD0-2362	"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA"
CPD-6061	"F-dUMP"
NACL	"sodium chloride"
