"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Names"
G7225	"b2356"	2472112	2472387	G7225-MONOMER	"yfdM" // "yzyB" // "b2356" // "ECK2350"
EG12163	"b3289"	3435207	3436496	EG12163-MONOMER	"rsmB" // "yhdB" // "rrmB" // "fmu" // "fmv" // "sun" // "b3289" // "ECK3275"
EG12378	"b1867"	1950832	1951398	EG12378-MONOMER	"yecD" // "b1867" // "ECK1868"
G6822	"b1549"	1637047	1637457	G6822-MONOMER	"ydfO" // "b1549" // "ECK1543"
EG11344	"b1133"	1192667	1193773	EG11344-MONOMER	"mnmA" // "asuE" // "ycfB" // "trmU" // "b1133" // "ECK1119"
EG12213	"b3467"	3605251	3605610	EG12213-MONOMER	"yhhM" // "b3467" // "ECK3451"
G6685	"b1361"	1422752	1423312	G6685-MONOMER	"ydaW" // "b1361" // "ECK1359"
EG10858	"b1804"	1886864	1887991	EG10858-MONOMER	"rnd" // "b1804" // "ECK1802"
EG11984	"b2033"	2104494	2105084	EG11984-MONOMER	"wbbJ" // "yefH" // "b2033" // "ECK2027"
G6592	"b1148"	1203822	1204160	G6592-MONOMER	"ymfM" // "b1148" // "ECK1134"
G7845	"b4180"	4409275	4410006	G7845-MONOMER	"rlmB" // "yjfH" // "b4180" // "ECK4176"
EG11694	"b3674"	3855114	3855611	EG11694-MONOMER	"yidF" // "b3674" // "ECK3665"
G6312	"b0557"	578600	578893	G6312-MONOMER	"borD" // "iss" // "vboR" // "bor" // "ybcU" // "b0557" // "ECK0549"
G7297	"b2474"	2593844	2595859	G7297-MONOMER	"tmcA" // "ypfI" // "b2474" // "ECK2470"
EG11383	"b3209"	3349806	3350459	EG11383-MONOMER	"elbB" // "yzzB" // "elb2" // "s27a" // "yhbL" // "b3209" // "ECK3198"
G6148	"b0277"	292322	292948	G6148-MONOMER	"yagK" // "b0277" // "ECK0276"
G6238	"b0423"	441549	442997	THII-MONOMER	"thiI" // "nuvA" // "nuvC" // "yajK" // "b0423" // "ECK0417"
EG11145	"b2395"	2515643	2517832	EG11145-MONOMER	"pdeA" // "yfeA" // "b2395" // "ECK2389"
G6125	"b0250"	265620	266087	G6125-MONOMER	"ykfB" // "b0250" // "ECK0252"
EG12022	"b2140"	2229438	2230385	EG12022-MONOMER	"dusC" // "yohI" // "b2140" // "ECK2133"
G7890	"b4263"	4488561	4490063	G7890-MONOMER	"yjgR" // "b4263" // "ECK4256"
EG12344	"b1303"	1366935	1367912	EG12344-MONOMER	"pspF" // "ycjB" // "b1303" // "ECK1298"
EG11254	"b0636"	668248	668715	EG11254-MONOMER	"rlmH" // "ybeA" // "b0636" // "ECK0629"
G7718	"b3353"	3483202	3484224	G7718-MONOMER	"yheT" // "b3353" // "ECK3341"
EG11634	"b1548"	1635798	1636367	EG11634-MONOMER	"nohA" // "nohQ" // "b1548" // "ECK1541"
EG10595	"b4171"	4399252	4400202	EG10595-MONOMER	"miaA" // "trpX" // "b4171" // "ECK4167"
G7580	"b3033"	3176858	3177280	G7580-MONOMER	"yqiB" // "yzzH" // "b3033" // "ECK3024"
EG10827	"b1350"	1414786	1417386	EG10827-MONOMER	"recE" // "rmuB" // "rac" // "sbcA" // "b1350" // "ECK1347"
G7714	"b3345"	3475332	3475718	G7714-MONOMER	"tusD" // "yheN" // "b3345" // "ECK3332"
G7479	"b2859"	2995962	2996387	G7479-MONOMER	"ygeO" // "b2859" // "ECK2857"
EG10436	"b4174"	4402038	4403297	EG10436-MONOMER	"hflK" // "hslY" // "hflA" // "b4174" // "ECK4170"
EG12876	"b0969"	1030339	1030668	EG12876-MONOMER	"tusE" // "yccK" // "b0969" // "ECK0960"
G7420	"b2739"	2864236	2865012	G7420-MONOMER	"ygbM" // "b2739" // "ECK2734"
G7917	"b4307"	4533239	4533784	G7917-MONOMER	"yjhQ" // "b4307" // "ECK4297"
EG11888	"b3606"	3781215	3781688	EG11888-MONOMER	"trmL" // "yibK" // "b3606" // "ECK3596"
G7268	"b2433"	2551277	2551726	G7268-MONOMER	"yfeZ" // "b2433" // "ECK2428"
G7372	"b2637"	2771148	2771615	G7372-MONOMER	"yfjT" // "b2637" // "ECK2633"
EG11171	"b3064"	3209530	3210543	EG11171-MONOMER	"tsaD" // "gcp" // "ygjD" // "b3064" // "ECK3054"
G7132	"b2100"	2181096	2182061	G7132-MONOMER	"yegV" // "b2100" // "ECK2093"
G7277	"b2447"	2562524	2563117	G7277-MONOMER	"yffP" // "b2447" // "ECK2442"
EG10376	"b3740"	3923057	3923680	EG10376-MONOMER	"rsmG" // "gidB" // "b3740" // "ECK3733"
G7010	"b1837"	1922121	1922312	G7010-MONOMER	"yebW" // "b1837" // "ECK1836"
G7221	"b2352"	2469131	2470462	G7221-MONOMER	"yfdI" // "gtrS" // "gtrIV" // "b2352" // "ECK2346"
G7698	"b3282"	3430843	3431415	G7698-MONOMER	"tsaC" // "yrdC" // "rimN" // "b3282" // "ECK3269"
G6930	"b1725"	1807796	1808656	G6930-MONOMER	"yniA" // "b1725" // "ECK1723"
G6835	"b1568"	1647346	1647636	G6835-MONOMER	"ydfX" // "b1568" // "ECK1562"
G6991	"b1807"	1890572	1891267	G6991-MONOMER	"tsaB" // "yeaZ" // "b1807" // "ECK1805"
G6785	"b1491"	1567504	1568823	G6785-MONOMER	"yddW" // "b1491" // "ECK1485"
G6819	"b1545"	1633622	1634212	G6819-MONOMER	"pinQ" // "ydfL" // "b1545" // "ECK1538"
EG12401	"b2517"	2643129	2644283	EG12401-MONOMER	"rlmN" // "yfgB" // "b2517" // "ECK2513"
G6729	"b1410"	1479138	1480895	G6729-MONOMER	"ynbC" // "b1410" // "ECK1403"
G6682	"b1358"	1420684	1421106	G6682-MONOMER	"ydaT" // "b1358" // "ECK1356"
EG11768	"b0503"	530132	531226	EG11768-MONOMER	"selU" // "ybbB" // "mnmH" // "b0503" // "ECK0496"
G6613	"b1173"	1223695	1223907	G6613-MONOMER	"ycgI" // "b1173" // "ECK1161"
G6589	"b1145"	1202259	1202933	G6589-MONOMER	"ymfK" // "b1145" // "ECK1131"
EG11023	"b2607"	2744572	2745339	EG11023-MONOMER	"trmD" // "b2607" // "ECK2604"
G6450	"b0865"	903952	904467	G6450-MONOMER	"ybjP" // "b0865" // "ECK0856"
G6309	"b0554"	577398	577613	G6309-MONOMER	"essD" // "vlyS" // "ybcR" // "b0554" // "ECK0545"
EG10136	"b3056"	3201891	3203129	EG10136-MONOMER	"cca" // "b3056" // "ECK3046"
G6231	"b0392"	408609	408950	G6231-MONOMER	"ykiA" // "b0392" // "ECK0387"
G6143	"b0271"	286789	288399	G6143-MONOMER	"yagH" // "b0271" // "ECK0272"
G7456	"b2812"	2945036	2945842	G7456-MONOMER	"tcdA" // "ygdL" // "csdL" // "b2812" // "ECK2808"
G6118	"b0234"	252709	253161	G6118-MONOMER	"yafP" // "b0234" // "ECK0235"
G6122	"b0247"	264256	264732	G6122-MONOMER	"ykfG" // "b0247" // "ECK0249"
G6581	"b1135"	1194298	1194951	G6581-MONOMER	"rluE" // "ymfC" // "b1135" // "ECK1121"
G0-16673	"b4672"	1346796	1346900	MONOMER0-4368	"ymiB" // "b4672" // "ECK4487"
EG12205	"b1558"	1641855	1642067	EG12205-MONOMER	"cspF" // "b1558" // "ECK1552"
EG12233	"b3497"	3642380	3643132	EG12233-MONOMER	"rsmJ" // "yhiQ" // "b3497" // "ECK3482"
G0-10591	"b4596"	1344436	1344609	MONOMER0-2820	"yciZ" // "deoL" // "b4596" // "ECK4406"
EG10778	"b1306"	1369025	1369384	EG10778-MONOMER	"pspC" // "b1306" // "ECK1301"
EG11507	"b3179"	3327035	3327664	EG11507-MONOMER	"rlmE" // "ftsJ" // "mrsF" // "rrmJ" // "b3179" // "ECK3168"
EG12870	"b1322"	1385511	1386572	EG12870-MONOMER	"ycjF" // "b1322" // "ECK1318"
EG10302	"b0150"	167484	169727	EG10302-MONOMER	"fhuA" // T1 // "T5rec" // "tonA" // "b0150" // "ECK0149"
EG10996	"b0406"	426137	427264	EG10996-MONOMER	"tgt" // "vacC(S.f.)" // "b0406" // "ECK0400"
EG12326	"b0137"	151626	152231	EG12326-MONOMER	"yadL" // "b0137" // "ECK0136"
G7907	"b4286"	4509720	4510133	G7907-MONOMER	"yjhV" // "b4286" // "ECK4276"
G7431	"b2765"	2892214	2892579	G7431-MONOMER	"queD" // "ygcM" // "sscR" // "b2765" // "ECK2760"
EG12138	"b0193"	216179	217003	EG12138-MONOMER	"yaeF" // "yaeK" // "b0193" // "ECK0193"
G7368	"b2633"	2768665	2769486	G7368-MONOMER	"yfjQ" // "b2633" // "ECK2629"
G6449	"b0859"	898518	899645	G6449-MONOMER	"rlmC" // "ybjF" // "rumB" // "b0859" // "ECK0850"
EG11875	"b3921"	4112315	4112755	EG11875-MONOMER	"yiiR" // "b3921" // "ECK3913"
G7274	"b2444"	2561368	2561613	G7274-MONOMER	"yffM" // "b2444" // "ECK2439"
EG11362	"b0144"	159186	160112	EG11362-MONOMER	"gluQ" // "yadB" // "b0144" // "ECK0143"
EG11664	"b3348"	3477640	3477858	EG11664-MONOMER	"slyX" // "b3348" // "ECK3335"
G7218	"b2349"	2466545	2467702	G7218-MONOMER	"intS" // "intC" // "yfdB" // "b2349" // "ECK2343"
EG10862	"b3704"	3884493	3884852	EG10862-MONOMER	"rnpA" // "b3704" // "ECK3696"
EG11309	"b1406"	1474221	1475081	EG11309-MONOMER	"pdxI" // "ydbC" // "b1406" // "ECK1399"
G6832	"b1565"	1645897	1646202	G6832-MONOMER	"ydfV" // "b1565" // "ECK1559"
G7950	"b4371"	4606669	4607700	G7950-MONOMER	"rsmC" // "yjjT" // "b4371" // "ECK4362"
EG11093	"b0389"	406979	407170	EG11093-MONOMER	"yaiA" // "b0389" // "ECK0384"
G6697	"b1374"	1433084	1433674	G6697-MONOMER	"pinR" // "ynaD" // "b1374" // "ECK1369"
G7325	"b2530"	2660317	2661531	G7325-MONOMER	"iscS" // "nuvC" // "yzzO" // "yfhO" // "b2530" // "ECK2527"
G7880	"b4249"	4473340	4474053	G7880-MONOMER	"bdcA" // "yjgI" // "b4249" // "ECK4243"
G6679	"b1355"	1419322	1419456	G6679-MONOMER	"ydaG" // "gatA" // "b1355" // "ECK1353"
G6245	"b0444"	464852	465547	G6245-MONOMER	"queC" // "ybaX" // "b0444" // "ECK0438"
G7687	"b3242"	3389134	3389337	G7687-MONOMER	"aaeX" // "yhcR" // "b3242" // "ECK3231"
G6586	"b1142"	1201069	1201380	G6586-MONOMER	"ymfH" // "b1142" // "ECK1128"
EG12044	"b2183"	2279788	2280483	EG12044-MONOMER	"rsuA" // "yejD" // "b2183" // "ECK2177"
G7543	"b2977"	3123827	3124231	G7543-MONOMER	"glcG" // "yghC" // "b2977" // "ECK2971"
G6306	"b0550"	573371	573733	G6306-MONOMER	"rusA" // "ybcP" // "rus" // "b0550" // "ECK0541"
EG10690	"b0143"	157729	159126	EG10690-MONOMER	"pcnB" // "b0143" // "ECK0142"
G7473	"b2853"	2993638	2993856	G7473-MONOMER	"ygeI" // "b2853" // "ECK2851"
G6136	"b0261"	276715	277647	MMUM-MONOMER	"mmuM" // "yagD" // "b0261" // "ECK0263"
G7750	"b4475"	3555833	3556849	G7750-MONOMER	"rtcA" // "yhgJ" // "yhgK" // "b3420 (obsolete)" // "b3419 (obsolete)" // "b4475" // "ECK3406"
G7385	"b2650"	2784529	2785011	G7385-MONOMER	"ypjC" // "b2650" // "ECK2647"
G0-9621	"b4501"	2476310	2476510	MONOMER0-1641	"torI" // "b4501" // "ECK2359"
EG11921	"b4022"	4230354	4231226	EG11921-MONOMER	"rluF" // "yjbC" // "b4022" // "ECK4014"
G7240	"b2377"	2495050	2495292	G7240-MONOMER	"yfdY" // "b2377" // "ECK2373"
EG12154	"b1353"	1418671	1419159	EG12154-MONOMER	"sieB" // "b1353" // "ECK1351"
EG11177	"b3166"	3311833	3312777	EG11177-MONOMER	"truB" // "yhbA" // "b3166" // "ECK3155"
G7118	"b2081"	2165668	2167029	G7118-MONOMER	"yegQ" // "b2081" // "ECK2077"
EG11130	"b1562"	1645119	1645274	EG11130-MONOMER	"hokD" // "relF" // "b1562" // "ECK1556"
EG10454	"b2318"	2434824	2435636	EG10454-MONOMER	"truA" // "asuC" // "hisT" // "leuK" // "b2318" // "ECK2312"
G6989	"b1803"	1885845	1886810	G6989-MONOMER	"yeaX" // "b1803" // "ECK1801"
EG10737	"b1158"	1209685	1210239	EG10737-MONOMER	"pinE" // "pin" // "b1158" // "ECK1144"
G7712	"b3343"	3474678	3474965	G7712-MONOMER	"tusB" // "yheL" // "b3343" // "ECK3330"
G6902	"b1674"	1753851	1754477	G6902-MONOMER	"ydhY" // "b1674" // "ECK1670"
EG10227	"b1575"	1649609	1649797	EG10227-MONOMER	"dicB" // "ftsT" // "b1575" // "ECK1569"
G7008	"b1835"	1920223	1921662	G7008-MONOMER	"rsmF" // "yebU" // "b1835" // "ECK1834"
G6771	"b1470"	1544384	1544719	G6771-MONOMER	"yddJ" // "b1470" // "ECK1464"
G7365	"b2630"	2765918	2766991	G7365-MONOMER	"rnlA" // "yfjN" // "std" // "b2630" // "ECK2626"
EG12433	"b1269"	1326852	1327727	EG12433-MONOMER	"rluB" // "yciL" // "b1269" // "ECK1263"
G6702	"b1379"	1441321	1441743	G6702-MONOMER	"hslJ" // "ydbI" // "b1379" // "ECK1376"
G7232	"b2363"	2475873	2476178	G7232-MONOMER	"yfdT" // "b2363" // "ECK2357"
EG11779	"b2960"	3102133	3102852	EG11779-MONOMER	"trmI" // "trmB" // "yggH" // "b2960" // "ECK2955"
G6605	"b1165"	1216068	1216340	G6605-MONOMER	"ymgA" // "b1165" // "ECK1152"
G7086	"b2006"	2077940	2078134	G7086-MONOMER	"yeeW" // "b2006" // "ECK1999"
EG11085	"b0082"	90094	91035	EG11085-MONOMER	"rsmH" // "yabC" // "mraW" // "b0082" // "ECK0083"
G6441	"b0843"	884946	885230	G6441-MONOMER	"ybjH" // "b0843" // "ECK0833"
G6829	"b1556"	1640370	1640585	G6829-MONOMER	"essQ" // "ydfS" // "b1556" // "ECK1550"
EG10343	"b3465"	3604393	3604989	EG10343-MONOMER	"rsmD" // "yhhF" // "b3465" // "ECK3449"
G6225	"b0374"	393015	394418	G6225-MONOMER	"yaiU" // "b0374" // "ECK0369"
G6582	"b1137"	1196867	1197532	G6582-MONOMER	"ymfD" // "b1137" // "ECK1123"
G7603	"b3084"	3234739	3235875	G7603-MONOMER	"rlmG" // "ygjO" // "b3084" // "ECK3074"
G6103	"b0219"	239419	240189	G6103-MONOMER	"yafV" // "b0219" // "ECK0220"
G6303	"b0547"	572466	572921	G6303-MONOMER	"ybcN" // "b0547" // "ECK0538"
G6675	"b1344"	1411013	1411948	G6675-MONOMER	"ttcA" // "ydaO" // "b1344" // "ECK1341"
G0-10653	"b4663"	1987873	1987959	MONOMER0-2880	"azuC" // "b4663" // "ECK4478"
G6133	"b0258"	272847	273992	G6133-MONOMER	"ykfC" // "b0258" // "ECK0260"
EG11538	"b2575"	2712027	2712764	EG11538-MONOMER	"yfiC" // "trmM" // "b2575" // "ECK2573"
G0-10588	"b4592"	1040445	1040537	MONOMER0-2817	"appX" // "yccB" // "cbdX" // "b4592" // "ECK4402"
G0-10449	"b4528"	1423400	1423585	MONOMER0-2671	"rzoR" // "b4528" // "ECK1361"
G7449	"b2791"	2923002	2923784	G7449-MONOMER	"truC" // "yqcB" // "b2791" // "ECK2785"
EG12703	"b1003"	1066864	1067091	EG12703-MONOMER	"yccJ" // "b1003" // "ECK0994"
EG11901	"b1347"	1413531	1413740	EG11901-MONOMER	"ydaC" // "rcbA" // "b1347" // "ECK1344"
G6488	"b0948"	1007844	1009952	G6488-MONOMER	"rlmL" // "ycbY" // "rlmK" // "rlmKL" // "b0948" // "ECK0939"
EG12288	"b3584"	3751128	3751868	EG12288-MONOMER	"yiaT" // "b3584" // "ECK3573"
EG11035	"b0411"	431129	432013	EG11035-MONOMER	"tsx" // "T6rec" // "nupA" // "b0411" // "ECK0405"
EG12207	"b1822"	1906251	1907060	EG12207-MONOMER	"rlmA" // "rrmA" // "yebH" // "b1822" // "ECK1820"
EG12051	"b2190"	2286390	2288900	EG12051-MONOMER	"yejO" // "b2190" // "ECK2184"
EG10067	"b0273"	289301	290305	CHAINF-MONOMER	"argF" // "b0273" // "ECK0274"
EG11372	"b2559"	2697354	2697857	EG11372-MONOMER	"tadA" // "yfhC" // "b2559" // "ECK2557"
EG11820	"b1056"	1117901	1118476	EG11820-MONOMER	"yceI" // "b1056" // "ECK1041"
G7379	"b2644"	2776386	2776868	G7379-MONOMER	"yfjY" // "b2644" // "ECK2640"
EG10943	"b1764"	1846965	1848008	EG10943-MONOMER	"selD" // "fdhB" // "b1764" // "ECK1762"
EG11580	"b0800"	835248	836210	EG11580-MONOMER	"ybiB" // "b0800" // "ECK0789"
G7362	"b2627"	2761351	2763540	G7362-MONOMER	"abpB" // "yfjK" // "b2627" // "ECK2623"
G0-8866	"b4442"	2814802	2814873	SRAD-RNA	"micA" // "sraD" // "psrA10" // "b4442" // "ECK2682"
EG11219	"b1419"	1491677	1491850	EG11219-MONOMER	"ydcA" // "b1419" // "ECK1411"
G7229	"b2360"	2474032	2474856	G7229-MONOMER	"yfdQ" // "b2360" // "ECK2354"
G0-8914	"b4452"	3664864	3664968	IS183-RNA	"gadY" // "IS183" // "b4452" // "ECK3500"
EG10848	"b0700"	729583	733776	EG10848-MONOMER	"rhsC" // "b0700" // "ECK0689"
G7083	"b2003"	2076817	2077038	G7083-MONOMER	"yeeT" // "b2003" // "ECK1996"
G0-10671	"b4698"	1622817	1622914	RNA0-348	"mgrR" // "b4698" // "ECK4510"
G7847	"b4182"	4410553	4411251	G7847-MONOMER	"yjfJ" // "b4182" // "ECK4178"
G6826	"b1553"	1639030	1639527	G6826-MONOMER	"rzpQ" // "ydfP" // "b1553" // "ECK1547"
G0-8899	"b4426"	1405659	1405751	IS061-RNA	"mcaS" // "IS061" // "isrA" // "b4426" // "ECK1336"
G7669	"b3211"	3353121	3354050	G7669-MONOMER	"yhcC" // "b3211" // "ECK3201"
G6691	"b1368"	1426454	1427482	G6691-MONOMER	"ynaA" // "b1368" // "ECK1365"
G0-10598	"b4608"	2700520	2700596	RNA0-330	"ohsC" // "ryfC" // "b4608" // "ECK4417"
G7537	"b2970"	3112054	3112920	G7537-MONOMER	"yghF" // "ecfA" // "b2970" // "ECK2965"
G6596	"b1152"	1206131	1206922	G6596-MONOMER	"jayE" // "ymfP" // "b1152" // "ECK1138"
G0-8884	"b4436"	2153311	2153454	RYEC-RNA	"sibA" // "QUAD1a" // "tp11" // "ryeC" // "b4436" // "ECK2068"
G7522	"b2940"	3086187	3086402	G7522-MONOMER	"yqgC" // "b2940" // "ECK2935"
G6316	"b0562"	582152	582736	G6316-MONOMER	"ybcY" // "b0562" // "ECK0554"
EG30098	"b3864"	4049899	4050007	SPF-RNA	"spf" // "b3864" // "ECK3856"
G7464	"b2844"	2984411	2985592	G7464-MONOMER	"yqeF" // "b2844" // "ECK2842"
G6300	"b0544"	568902	570428	G6300-MONOMER	"ybcK" // "b0544" // "ECK0535"
G0-8873	"b4456"	3986432	3986603	SRAJ-RNA	"glmZ" // "psrA20" // "sraJ" // "k19" // "ryiA" // "b4456" // "ECK3795"
G7343	"b2549"	2679464	2682745	G7343-MONOMER	"yphG" // "b2549" // "ECK2546"
G6152	"b0281"	295696	297096	G6152-MONOMER	"intF" // "yagO" // "b0281" // "ECK0280"
G0-8867	"b4443"	2942696	2942900	GCVB-RNA	"gcvB" // "psrA11" // "IS145" // "b4443" // "ECK2804"
G7196	"b2304"	2421708	2422601	G7196-MONOMER	"yfcH" // "b2304" // "ECK2298"
G6130	"b0255"	270242	270646	G6130-MONOMER	"insN-1" // "yi91a" // "b0255" // "ECK0257"
G0-9042	"b4454"	3700136	3700199	RDLD-RNA	"rdlD" // "b4454" // "ECK3525"
G7078	"b1998"	2070244	2070504		"yoeA_2" // "yoeE" // "b1998" // "ECK1990"
EG31115	"b1574"	1649382	1649434	DICF-RNA	"dicF" // "b1574" // "ECK1568"
G0-10677	"b4699"	1409129	1409247	RNA0-349	"fnrS" // "rydA" // "b4699" // "ECK4511"
G6974	"b1788"	1874078	1874182	G6974-MONOMER	"yoaI" // "b1788" // "ECK1786"
EG11783	"b2622"	2756159	2757400	EG11783-MONOMER	"intA" // "intX" // "slpA" // "b2622" // "ECK2618"
G0-8901	"b4427"	1437121	1437229	TKE8-RNA	"micC" // "IS063" // "tke8" // "b4427" // "ECK1373"
G6898	"b1670"	1749563	1750348	G6898-MONOMER	"ydhU" // "b1670" // "ECK1666"
EG11010	"b0737"	775153	775845	EG11010-MONOMER	"tolQ" // "fii" // "tolP" // "b0737" // "ECK0726"
G0-10602	"b4611"	3195097	3195240	RNA0-332	"sibE" // "QUAD1e" // "rygE" // "b4611" // "ECK4420"
G6766	"b1455"	1526940	1527152	G6766-MONOMER	"yncH" // "b1455" // "ECK1449"
EG10535	"b1139"	1198695	1199588	EG10535-MONOMER	"lit" // "b1139" // "ECK1125"
G0-8885	"b4437"	2153646	2153781	RYED-RNA	"sibB" // "QUAD1b" // "tpe60" // "ryeD" // "b4437" // "ECK2069"
G6654	"b1316"	1377884	1380151	G6654-MONOMER	"ycjT" // "b1316" // "ECK1311"
G7359	"b2623"	2757644	2758600	G7359-MONOMER	"yfjH" // "b2623" // "ECK2619"
G0-8878	"b4438"	2167114	2167200	RYEE-RNA	"cyaR" // "ryeE" // "b4438" // "ECK2078"
G6578	"b1121"	1180479	1181267	G6578-MONOMER	"ycfZ" // "b1121" // "ECK1107"
G7226	"b2357"	2472387	2472881	G7226-MONOMER	"yfdN" // "yzyA" // "b2357" // "ECK2351"
G0-8863	"b4431"	1770372	1770476	RPRA-RNA	"rprA" // "psrA5" // "IS083" // "b4431" // "ECK1686"
G6401	"b0771"	803503	805764	G6401-MONOMER	"ybhJ" // "b0771" // "ECK0760"
G7080	"b2000"	2071539	2074658	G7080-MONOMER	"flu" // "agn43" // "yzzX" // "yeeQ" // "agn" // "b2000" // "ECK1993"
G0-8913	"b4447"	3194721	3194865	C0730-RNA	"sibD" // "tp8" // "C0730" // "IS156" // "QUAD1d" // "rygD" // "b4447" // "ECK3041"
G6211	"b0359"	380844	381059		"yaiX_2" // "yaiX" // "b0359" // "ECK0356"
G6823	"b1550"	1637609	1637782	G6823-MONOMER	"gnsB" // "ydfY" // "b1550" // "ECK1544"
G0-10610	"b4625"	4579835	4579911	RNA0-334	"symR" // "ryjC" // "b4625" // "ECK4432"
G6100	"b0213"	234816	235538	G6100-MONOMER	"yafS" // "b0213" // "ECK0213"
G6686	"b1362"	1423345	1423644	G6686-MONOMER	"rzpR" // "ydaX" // "b1362" // "ECK1360"
G0-8886	"b4446"	3056851	3056991	RYGC-RNA	"sibC" // "QUAD1c" // "t27" // "rygC" // "b4446" // "ECK2908"
G0-10644	"b4677"	1946115	1946180	MONOMER0-2871	"yobI" // "b4677" // "ECK4492"
G6593	"b1149"	1204170	1205537	G6593-MONOMER	"ymfN" // "oweE" // "aaaE" // "b4693" // "b1149" // "ECK1135"
G0-8872	"b4451"	3580927	3581016	SRAI-RNA	"ryhB" // "psrA18" // "IS176" // "sraI" // "b4451" // "ECK3426"
G0-10550	"b0322"	339793	340089	MONOMER0-2772	"yahH" // "b0322" // "ECK0320"
G6313	"b0558"	579184	579594	G6313-MONOMER	"ybcV" // "b0558" // "ECK0550"
EG11620	"b1286"	1346978	1348912	EG11620-MONOMER	"rnb" // "b1286" // "ECK1281"
EG12611	"b0057"	59121	59279	EG12611-MONOMER	"yabQ" // "b4659" // "b0057" // "ECK0058"
G6149	"b0278"	293220	293918	G6149-MONOMER	"yagL" // "b0278" // "ECK0277"
G7830	"b4128"	4352584	4352880	G7830-MONOMER	"ghoS" // "yjdK" // "b4128" // "ECK4121"
EG12270	"b3550"	3713652	3714092	EG12270-MONOMER	"yiaC" // "b3550" // "ECK3537"
G6127	"b0252"	267184	268005	G6127-MONOMER	"yafZ" // "b0252" // "ECK0254"
