EntryID	PubMedID	Organism	UniprotID	Enzymename	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	ReactionEquation
100	15740745	Escherichia coli	P0ABQ4	dihydrofolate reductase	1.5.1.3	concentration	NADPH	1.0E-4			M	5,6,7,8-Tetrahydrofolate + NADP+ = H+ + Dihydrofolate + NADPH
100	15740745	Escherichia coli	P0ABQ4	dihydrofolate reductase	1.5.1.3	kcat		6.18			s^(-1)	5,6,7,8-Tetrahydrofolate + NADP+ = H+ + Dihydrofolate + NADPH
304	15194235	Escherichia coli	P63943	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	L-Aspartate 4-semialdehyde	4.0E-5	0.0015		M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
304	15194235	Escherichia coli	P63943	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	kcat		124.0		-	s^(-1)	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
304	15194235	Escherichia coli	P63943	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Km	Pyruvate	2.6E-4		3.0E-5	M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
304	15194235	Escherichia coli	P63943	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Km	L-Aspartate 4-semialdehyde	1.1E-4		1.0E-5	M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
304	15194235	Escherichia coli	P63943	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	Pyruvate	5.0E-5	0.0022		M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
304	15194235	Escherichia coli	P63943	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Vmax		0.059		0.002	mol*s^(-1)*g^(-1)	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	L-Lysine	0.0	0.005		M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	Pyruvate	5.0E-5	0.0022		M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Ki	L-Lysine	0.0039		-	M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	L-Aspartate 4-semialdehyde	0.0015			M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Ki	L-Lysine	1.8E-4		1.6E-4	M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Km	Pyruvate	1.4E-4		1.0E-5	M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Vmax		0.059		0.002	mol*s^(-1)*g^(-1)	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
305	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Vmax		0.0027		0.001	mol*s^(-1)*g^(-1)	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
306	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Vmax		0.0054		-	mol*s^(-1)*g^(-1)	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
306	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	Pyruvate	0.0022			M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
306	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Km	L-Aspartate 4-semialdehyde	1.2E-4		1.0E-5	M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
306	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	L-Aspartate 4-semialdehyde	4.0E-5	0.0015		M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
306	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Vmax		0.057		0.001	mol*s^(-1)*g^(-1)	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
306	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	concentration	L-Lysine	0.0	0.005		M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
306	15194235	Escherichia coli	P63944	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	Ki	L-Lysine	3.2E-4		3.0E-5	M	Pyruvate + L-Aspartate 4-semialdehyde = H2O + L-2,3-Dihydrodipicolinate
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	kcat		28.3333333		1.66667	s^(-1)	L-Alanine = D-Alanine
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	Vmax					-	L-Alanine = D-Alanine
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	Km	D-Alanine	2.5E-4		7.0E-5	M	L-Alanine = D-Alanine
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	concentration	L-Alanine	2.5E-4	0.002		M	L-Alanine = D-Alanine
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	Km	L-Alanine	2.9E-4		7.0E-5	M	L-Alanine = D-Alanine
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	concentration	D-Alanine	1.0E-4	0.002		M	L-Alanine = D-Alanine
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	kcat		27.6666667		0.5	s^(-1)	L-Alanine = D-Alanine
443	15796715	Escherichia coli	P0A6B4	alanine racemase	5.1.1.1	Vmax					-	L-Alanine = D-Alanine
483	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	kcat/Km	p-Nitrophenol alpha-D-glucopyranoside	6.0			M^(-1)*s^(-1)	H2O + p-Nitrophenol alpha-D-glucopyranoside = alpha-D-Glucose + p-Nitrophenol
483	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	kcat		0.046		0.001	s^(-1)	H2O + p-Nitrophenol alpha-D-glucopyranoside = alpha-D-Glucose + p-Nitrophenol
483	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	Km	p-Nitrophenol alpha-D-glucopyranoside	0.0077		4.0E-4	M	H2O + p-Nitrophenol alpha-D-glucopyranoside = alpha-D-Glucose + p-Nitrophenol
484	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	Km	p-Nitrophenol alpha-D-xylopyranoside	7.1E-4		4.0E-5	M	H2O + p-Nitrophenol alpha-D-xylopyranoside = alpha-D-Xylose + p-Nitrophenol
484	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	kcat/Km	p-Nitrophenol alpha-D-xylopyranoside	180.0			M^(-1)*s^(-1)	H2O + p-Nitrophenol alpha-D-xylopyranoside = alpha-D-Xylose + p-Nitrophenol
484	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	kcat		0.13		0.01	s^(-1)	H2O + p-Nitrophenol alpha-D-xylopyranoside = alpha-D-Xylose + p-Nitrophenol
485	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	kcat		75.0		3.0	s^(-1)	H2O + alpha-D-Xylopyranosyl fluoride = alpha-D-Xylose + F-
485	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	Km	alpha-D-Xylopyranosyl fluoride	9.7E-4		1.3E-4	M	H2O + alpha-D-Xylopyranosyl fluoride = alpha-D-Xylose + F-
485	15501829	Escherichia coli	P31434	Hydrolysing O-glycosyl compounds	3.2.1	kcat/Km	alpha-D-Xylopyranosyl fluoride	77000.0			M^(-1)*s^(-1)	H2O + alpha-D-Xylopyranosyl fluoride = alpha-D-Xylose + F-
615	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	concentration	p-Nitrophenyl-beta-D-xylopyranoside	1.0E-5	0.001		M	H2O + p-Nitrophenyl-beta-D-xylopyranoside = D-Xylose + p-Nitrophenol
615	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	kcat/Km	p-Nitrophenyl-beta-D-xylopyranoside	2.9		0.3	M^(-1)*s^(-1)	H2O + p-Nitrophenyl-beta-D-xylopyranoside = D-Xylose + p-Nitrophenol
615	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	kcat		0.001		1.0E-4	s^(-1)	H2O + p-Nitrophenyl-beta-D-xylopyranoside = D-Xylose + p-Nitrophenol
615	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	Km	p-Nitrophenyl-beta-D-xylopyranoside	3.6E-4		6.0E-5	M	H2O + p-Nitrophenyl-beta-D-xylopyranoside = D-Xylose + p-Nitrophenol
620	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	kcat/Km	p-Nitrophenyl-beta-D-glucuronide	340000.0		20000.0	M^(-1)*s^(-1)	H2O + p-Nitrophenyl-beta-D-glucuronide = D-Glucuronate + p-Nitrophenol
620	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	concentration	p-Nitrophenyl-beta-D-glucuronide	1.0E-5	0.001		M	H2O + p-Nitrophenyl-beta-D-glucuronide = D-Glucuronate + p-Nitrophenol
620	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	kcat		68.0		6.0	s^(-1)	H2O + p-Nitrophenyl-beta-D-glucuronide = D-Glucuronate + p-Nitrophenol
620	15069062	Escherichia coli	P05804	beta-glucuronidase	3.2.1.31	Km	p-Nitrophenyl-beta-D-glucuronide	2.0E-4		1.0E-5	M	H2O + p-Nitrophenyl-beta-D-glucuronide = D-Glucuronate + p-Nitrophenol
938	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	concentration	UDP-N-acetyl-D-glucosamine	0.008			M	UDP-N-acetyl-D-glucosamine + H2O = UDP + N-Acetyl-D-mannosamine
938	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	specific enz. activity		1.66666667E-7			mol*s^(-1)*g^(-1)	UDP-N-acetyl-D-glucosamine + H2O = UDP + N-Acetyl-D-mannosamine
942	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	Hill coefficient	UDP-N-acetyl-D-glucosamine	1.8		0.1	-	UDP-N-acetyl-D-glucosamine = UDP-N-acetyl-D-mannosamine
942	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	concentration	UDP-N-acetyl-D-glucosamine	0.008			M	UDP-N-acetyl-D-glucosamine = UDP-N-acetyl-D-mannosamine
942	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	kcat		7.1		0.3	s^(-1)	UDP-N-acetyl-D-glucosamine = UDP-N-acetyl-D-mannosamine
942	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	Km	UDP-N-acetyl-D-glucosamine	6.0E-4		1.0E-4	M	UDP-N-acetyl-D-glucosamine = UDP-N-acetyl-D-mannosamine
942	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	kcat/Km	UDP-N-acetyl-D-glucosamine	14200.0			M^(-1)*s^(-1)	UDP-N-acetyl-D-glucosamine = UDP-N-acetyl-D-mannosamine
942	15210128	Escherichia coli	P27828	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	specific enz. activity		1.26666667E-4			mol*s^(-1)*g^(-1)	UDP-N-acetyl-D-glucosamine = UDP-N-acetyl-D-mannosamine
966	15640355	Escherichia coli	P00892 P0ADG1	acetolactate synthase	2.2.1.6	Km	Pyruvate	0.0052			M	CO2 + 2-Acetolactate = Pyruvate
966	15640355	Escherichia coli	P00892 P0ADG1	acetolactate synthase	2.2.1.6	concentration	Pyruvate	0.1			M	CO2 + 2-Acetolactate = Pyruvate
966	15640355	Escherichia coli	P00892 P0ADG1	acetolactate synthase	2.2.1.6	concentration	Thiamin diphosphate	1.0E-4			M	CO2 + 2-Acetolactate = Pyruvate
966	15640355	Escherichia coli	P00892 P0ADG1	acetolactate synthase	2.2.1.6	Km	Thiamin diphosphate	6.3E-7			M	CO2 + 2-Acetolactate = Pyruvate
966	15640355	Escherichia coli	P00892 P0ADG1	acetolactate synthase	2.2.1.6	kcat		23.3			s^(-1)	CO2 + 2-Acetolactate = Pyruvate
1038	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Taurine	0.0	0.005		M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1038	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	Km	Taurine	5.8E-5		6.0E-6	M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1038	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Enzyme	5.5E-4			M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1038	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kinact		0.0032		7.0E-4	s^(-1)	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1038	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	2-Oxoglutarate	0.002			M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1038	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kcat		12.5		0.5	s^(-1)	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1050	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Taurine	0.0	0.005		M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1050	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	2-Oxoglutarate	0.002			M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1050	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Enzyme	5.5E-4			M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1050	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kinact		0.0034		0.003	s^(-1)	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1050	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kcat		10.4		-	s^(-1)	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1050	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	Km	Taurine	7.6E-5		2.4E-5	M	2-Oxoglutarate + O2 + Taurine = Succinate + Aminoacetaldehyde + CO2 + Sulfite
1052	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kcat		2.1		0.6	s^(-1)	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1052	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	Km	Pentanesulfonic acid	0.0017		3.0E-4	M	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1052	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Enzyme	5.5E-4			M	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1052	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kinact		0.0038		0.0018	s^(-1)	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1052	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Pentanesulfonic acid				-	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1052	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	2-Oxoglutarate	0.002			M	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1055	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kcat		3.5		-	s^(-1)	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1055	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	2-Oxoglutarate	0.002			M	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1055	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Pentanesulfonic acid				-	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1055	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Enzyme	5.5E-4			M	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1055	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	Km	Pentanesulfonic acid	0.0026		5.0E-4	M	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1055	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kinact		0.0042		0.0017	s^(-1)	2-Oxoglutarate + O2 + Pentanesulfonic acid = Sulfite + CO2 + Succinate + Pentanal
1058	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	Km	3-N-Morpholinopropanesulfonic acid	3.0E-4		9.0E-5	M	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1058	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kinact		0.0026		0.001	s^(-1)	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1058	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	3-N-Morpholinopropanesulfonic acid				-	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1058	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Enzyme	5.5E-4			M	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1058	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	2-Oxoglutarate	0.002			M	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1058	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kcat		0.95		0.03	s^(-1)	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1061	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	Km	3-N-Morpholinopropanesulfonic acid	4.4E-4		1.7E-4	M	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1061	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	2-Oxoglutarate	0.002			M	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1061	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kcat		1.7		0.7	s^(-1)	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1061	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	3-N-Morpholinopropanesulfonic acid				-	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1061	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	Enzyme	5.5E-4			M	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1061	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kinact		0.0037		0.0013	s^(-1)	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1062	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	concentration	2-Oxoglutarate	0.002			M	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
1062	15751960	Escherichia coli	P37610	taurine dioxygenase	1.14.11.17	kinact		0.0052		0.003	s^(-1)	3-N-Morpholinopropanesulfonic acid + 2-Oxoglutarate + O2 = CO2 + Succinate + Sulfite + 3-N-Morpholinopropanal
