  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
(2,3-dihydroxybenzoylserine)3+ H2O → (2,3-dihydroxybenzoylserine)2+ N-(2,3-dihydroxybenzoyl)-L-serine + H+	enterochelin esterase	EG10299-MONOMER	RXN-14478	PHYSIOL-LEFT-TO-RIGHT	"H2O
(2,3-dihydroxybenzoylserine)3
(2,3-dihydroxybenzoylserine)2
N-(2,3-dihydroxybenzoyl)-L-serine
H+"	"(2,3-dihydroxybenzoylserine)3
H2O"	"(2,3-dihydroxybenzoylserine)2
N-(2,3-dihydroxybenzoyl)-L-serine
H+"
(2-aminoethyl)phosphonate + acetyl-CoA → (2-acetamidoethyl)phosphonate + coenzyme A + 2 H+	aminoalkylphosphonate N-acetyltransferase	EG10724-MONOMER	RXN-17962	PHYSIOL-LEFT-TO-RIGHT	"acetyl-CoA
(2-aminoethyl)phosphonate
(2-acetamidoethyl)phosphonate
coenzyme A
H+"	"(2-aminoethyl)phosphonate
acetyl-CoA"	"(2-acetamidoethyl)phosphonate
coenzyme A
H+"
(2E)-2-hydroxypenta-2,4-dienoate ↔ 2-oxopent-4-enoate			RXN-7282	REVERSIBLE	"(2E)-2-hydroxypenta-2,4-dienoate
2-oxopent-4-enoate"	(2E)-2-hydroxypenta-2,4-dienoate	2-oxopent-4-enoate
(2E)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate + NAD+→ 2,3-dihydroxy-trans-cinnamate + NADH + H+	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	PHENPRODIOLDEHYDROG-MONOMER	RXN-12071	LEFT-TO-RIGHT	"NAD+
(2E)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate
2,3-dihydroxy-trans-cinnamate
NADH
H+"	"(2E)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate
NAD+"	"2,3-dihydroxy-trans-cinnamate
NADH
H+"
(2E,11Z)-octadecenoyl-CoA + H2O → (S)-3-hydroxy-(11Z)-octadecenoyl-CoA	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17785	PHYSIOL-LEFT-TO-RIGHT	"H2O
(2E,11Z)-octadecenoyl-CoA
(S)-3-hydroxy-(11Z)-octadecenoyl-CoA"	"(2E,11Z)-octadecenoyl-CoA
H2O"	(S)-3-hydroxy-(11Z)-octadecenoyl-CoA
(2E,5Z)-dodecenoyl-CoA + H2O → (S)-3-hydroxy-(5Z)-dodecenoyl-CoA	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17797	PHYSIOL-RIGHT-TO-LEFT	"(S)-3-hydroxy-(5Z)-dodecenoyl-CoA
(2E,5Z)-dodecenoyl-CoA
H2O"	(S)-3-hydroxy-(5Z)-dodecenoyl-CoA	"(2E,5Z)-dodecenoyl-CoA
H2O"
(2E,5Z)-tetradecenoyl-CoA ↔ 3-trans,5-cis-tetradecadienoyl-CoA	fatty acid oxidation complex, α component	FADB-CPLX	RXN0-5391	REVERSIBLE	"(2E,5Z)-tetradecenoyl-CoA
3-trans,5-cis-tetradecadienoyl-CoA"	(2E,5Z)-tetradecenoyl-CoA	3-trans,5-cis-tetradecadienoyl-CoA
(2E,5Z)-tetradecenoyl-CoA + H2O → (S)-3-hydroxy-(5Z)-tetradecenoyl-CoA	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN0-5393	RIGHT-TO-LEFT	"(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA
(2E,5Z)-tetradecenoyl-CoA
H2O"	(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA	"(2E,5Z)-tetradecenoyl-CoA
H2O"
(2E,6E)-farnesyl diphosphate + 5 isopentenyl diphosphate → all-trans-octaprenyl diphosphate + 5 diphosphate	all-trans-octaprenyl-diphosphate synthase	CPLX0-7426	RXN-8992	LEFT-TO-RIGHT	"isopentenyl diphosphate
(2E,6E)-farnesyl diphosphate
all-trans-octaprenyl diphosphate
diphosphate"	"(2E,6E)-farnesyl diphosphate
isopentenyl diphosphate"	"all-trans-octaprenyl diphosphate
diphosphate"
(2E,6E)-farnesyl diphosphate + 8 isopentenyl diphosphate → di-trans,octa-cis-undecaprenyl diphosphate + 8 diphosphate	undecaprenyl diphosphate synthase	UPPSYN-CPLX	RXN-8999	LEFT-TO-RIGHT	"isopentenyl diphosphate
(2E,6E)-farnesyl diphosphate
di-trans,octa-cis-undecaprenyl diphosphate
diphosphate"	"(2E,6E)-farnesyl diphosphate
isopentenyl diphosphate"	"di-trans,octa-cis-undecaprenyl diphosphate
diphosphate"
(2E,6E)-farnesyl diphosphate + H2O → (2E,6E)-farnesyl phosphate + phosphate + H+	undecaprenyl pyrophosphate phosphatase	EG11665-MONOMER	RXN-11776	PHYSIOL-LEFT-TO-RIGHT	"H2O
(2E,6E)-farnesyl diphosphate
H+
(2E,6E)-farnesyl phosphate
phosphate"	"(2E,6E)-farnesyl diphosphate
H2O"	"H+
(2E,6E)-farnesyl phosphate
phosphate"
(2E,7Z)-hexadecenoyl-CoA + H2O → (S)-3-hydroxy-(7Z)-hexadecenoyl-CoA	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17780	PHYSIOL-LEFT-TO-RIGHT	"H2O
(2E,7Z)-hexadecenoyl-CoA
(S)-3-hydroxy-(7Z)-hexadecenoyl-CoA"	"(2E,7Z)-hexadecenoyl-CoA
H2O"	(S)-3-hydroxy-(7Z)-hexadecenoyl-CoA
(2E,7Z)-tetradecenoyl-CoA + H2O → (S)-3-hydroxy-(7Z)-tetradecenoyl-CoA	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17793	PHYSIOL-RIGHT-TO-LEFT	"(S)-3-hydroxy-(7Z)-tetradecenoyl-CoA
(2E,7Z)-tetradecenoyl-CoA
H2O"	(S)-3-hydroxy-(7Z)-tetradecenoyl-CoA	"(2E,7Z)-tetradecenoyl-CoA
H2O"
(2E,9Z)-hexadecenoyl-CoA + H2O → (S)-3-hydroxy-(9Z)-hexadecenoyl-CoA	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17789	PHYSIOL-LEFT-TO-RIGHT	"H2O
(2E,9Z)-hexadecenoyl-CoA
(S)-3-hydroxy-(9Z)-hexadecenoyl-CoA"	"(2E,9Z)-hexadecenoyl-CoA
H2O"	(S)-3-hydroxy-(9Z)-hexadecenoyl-CoA
(2E,9Z)-octadecenoyl-CoA + H2O → (S)-3-hydroxy-(9Z)-octadecenoyl-CoA	"3-hydroxyacyl-CoA dehydrogenase FadJ
fatty acid oxidation complex, α component"	"G7212-MONOMER
FADB-CPLX"	RXN-17776	PHYSIOL-RIGHT-TO-LEFT	"(S)-3-hydroxy-(9Z)-octadecenoyl-CoA
(2E,9Z)-octadecenoyl-CoA
H2O"	(S)-3-hydroxy-(9Z)-octadecenoyl-CoA	"(2E,9Z)-octadecenoyl-CoA
H2O"
(2R)-2,3-dihydroxy-3-methylbutanoate → 3-methyl-2-oxobutanoate + H2O	dihydroxy-acid dehydratase	DIHYDROXYACIDDEHYDRAT-CPLX	DIHYDROXYISOVALDEHYDRAT-RXN	LEFT-TO-RIGHT	"(2R)-2,3-dihydroxy-3-methylbutanoate
3-methyl-2-oxobutanoate
H2O"	(2R)-2,3-dihydroxy-3-methylbutanoate	"3-methyl-2-oxobutanoate
H2O"
(2R)-2,3-dihydroxy-3-methylbutanoate + NADP+↔ (S)-2-acetolactate + NADPH + H+	acetohydroxy acid isomeroreductase	CPLX0-7643	ACETOLACTREDUCTOISOM-RXN	REVERSIBLE	"NADP+
(2R)-2,3-dihydroxy-3-methylbutanoate
(S)-2-acetolactate
NADPH
H+"	"(2R)-2,3-dihydroxy-3-methylbutanoate
NADP+"	"(S)-2-acetolactate
NADPH
H+"
(2R,3S)-2-methylisocitrate ↔ cis-2-methylaconitate + H2O	bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase	CPLX0-7761	4.2.1.99-RXN	REVERSIBLE	"(2R,3S)-2-methylisocitrate
cis-2-methylaconitate
H2O"	(2R,3S)-2-methylisocitrate	"cis-2-methylaconitate
H2O"
(2R,3S)-2-methylisocitrate ↔ succinate + pyruvate	2-methylisocitrate lyase	CPLX0-1021	METHYLISOCITRATE-LYASE-RXN	REVERSIBLE	"(2R,3S)-2-methylisocitrate
succinate
pyruvate"	(2R,3S)-2-methylisocitrate	"succinate
pyruvate"
(2R,3S)-3-isopropylmalate ↔ (2S)-2-isopropylmalate	3-isopropylmalate dehydratase	3-ISOPROPYLMALISOM-CPLX	RXN-13163	REVERSIBLE	"(2R,3S)-3-isopropylmalate
(2S)-2-isopropylmalate"	(2R,3S)-3-isopropylmalate	(2S)-2-isopropylmalate
(2R,3S)-3-isopropylmalate ↔ 2-isopropylmaleate + H2O	3-isopropylmalate dehydratase	3-ISOPROPYLMALISOM-CPLX	RXN-8991	REVERSIBLE	"(2R,3S)-3-isopropylmalate
2-isopropylmaleate
H2O"	(2R,3S)-3-isopropylmalate	"2-isopropylmaleate
H2O"
(2R,3S)-3-isopropylmalate + NAD+→ 4-methyl-2-oxopentanoate + CO2+ NADH	"D-malate/3-isopropylmalate dehydrogenase (decarboxylating)
3-isopropylmalate dehydrogenase"	"G6986-MONOMER
3-ISOPROPYLMALDEHYDROG-CPLX"	RXN-13158	PHYSIOL-LEFT-TO-RIGHT	"NAD+
(2R,3S)-3-isopropylmalate
4-methyl-2-oxopentanoate
CO2
NADH"	"(2R,3S)-3-isopropylmalate
NAD+"	"4-methyl-2-oxopentanoate
CO2
NADH"
(2R,3S)-3-isopropylmalate + NAD+↔ (2S)-2-isopropyl-3-oxosuccinate + NADH + H+	"D-malate/3-isopropylmalate dehydrogenase (decarboxylating)
3-isopropylmalate dehydrogenase"	"G6986-MONOMER
3-ISOPROPYLMALDEHYDROG-CPLX"	3-ISOPROPYLMALDEHYDROG-RXN	REVERSIBLE	"NAD+
(2R,3S)-3-isopropylmalate
(2S)-2-isopropyl-3-oxosuccinate
NADH
H+"	"(2R,3S)-3-isopropylmalate
NAD+"	"(2S)-2-isopropyl-3-oxosuccinate
NADH
H+"
(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[cytosol]→ (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[periplasm]	quorum signal AI-2 exporter	G6859-MONOMER	TRANS-RXN0-453	LEFT-TO-RIGHT	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[periplasm]+ ATP + H2O → (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[cytosol]+ ADP + phosphate + H+	Autoinducer-2 ABC transporter	ABC-58-CPLX	TRANS-RXN0-454	LEFT-TO-RIGHT	"H2O
ATP
(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
ADP
phosphate
H+"	"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
ATP
H2O"	"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
ADP
phosphate
H+"
(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one + H2O → (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran			RXN-10017	LEFT-TO-RIGHT	"H2O
(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one
(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"	"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one
H2O"	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
(2S)-2-amino-3-oxo-4-phosphonooxybutanoate + H+→ 3-amino-1-hydroxyacetone 1-phosphate + CO2			RXN-8447	PHYSIOL-LEFT-TO-RIGHT	"H+
(2S)-2-amino-3-oxo-4-phosphonooxybutanoate
3-amino-1-hydroxyacetone 1-phosphate
CO2"	"(2S)-2-amino-3-oxo-4-phosphonooxybutanoate
H+"	"3-amino-1-hydroxyacetone 1-phosphate
CO2"
(2S)-2-hydroxy-3,4-diketopentyl phosphate → 3-hydroxy-5-phosphonooxypentane-2,4-dione	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	G6805-MONOMER	RXN-15216	LEFT-TO-RIGHT	"(2S)-2-hydroxy-3,4-diketopentyl phosphate
3-hydroxy-5-phosphonooxypentane-2,4-dione"	(2S)-2-hydroxy-3,4-diketopentyl phosphate	3-hydroxy-5-phosphonooxypentane-2,4-dione
(2S)-2-isopropyl-3-oxosuccinate + H+→ 4-methyl-2-oxopentanoate + CO2			RXN-7800	LEFT-TO-RIGHT	"(2S)-2-isopropyl-3-oxosuccinate
H+
4-methyl-2-oxopentanoate
CO2"	"H+
(2S)-2-isopropyl-3-oxosuccinate"	"4-methyl-2-oxopentanoate
CO2"
(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate + NAD+→ 2,3-dihydroxybenzoate + NADH + H+	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	ENTA-CPLX	DHBDEHYD-RXN	LEFT-TO-RIGHT	"(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate
NAD+
H+
NADH
2,3-dihydroxybenzoate"	"NAD+
(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate"	"H+
NADH
2,3-dihydroxybenzoate"
(2S,3S)-2-methylcitrate → cis-2-methylaconitate + H2O	2-methylcitrate dehydratase	G6199-MONOMER	2-METHYLCITRATE-DEHYDRATASE-RXN	LEFT-TO-RIGHT	"(2S,3S)-2-methylcitrate
H2O
cis-2-methylaconitate"	(2S,3S)-2-methylcitrate	"H2O
cis-2-methylaconitate"
(2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one + H2O → (2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran			RXN-10018	LEFT-TO-RIGHT	"H2O
(2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one
(2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"	"(2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one
H2O"	(2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NADPH + H+→ (S)-2,3,4,5-tetrahydrodipicolinate + NADP++ H2O	4-hydroxy-tetrahydrodipicolinate reductase	DIHYDROPICRED-CPLX	RXN-14014	RIGHT-TO-LEFT	"H2O
NADP+
(S)-2,3,4,5-tetrahydrodipicolinate
(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate
NADPH
H+"	"(S)-2,3,4,5-tetrahydrodipicolinate
NADP+
H2O"	"(2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate
NADPH
H+"
(2Z)-2-aminobut-2-enoate → 2-iminobutanoate			RXN-15121	LEFT-TO-RIGHT	"(2Z)-2-aminobut-2-enoate
2-iminobutanoate"	(2Z)-2-aminobut-2-enoate	2-iminobutanoate
(2Z)-2-aminobut-2-enoate + 5-phospho-α-D-ribose 1-diphosphate → 5-phospho-β-D-ribosylamine + crotonate + diphosphate			RXN0-7170	PHYSIOL-LEFT-TO-RIGHT	"5-phospho-α-D-ribose 1-diphosphate
(2Z)-2-aminobut-2-enoate
5-phospho-β-D-ribosylamine
crotonate
diphosphate"	"(2Z)-2-aminobut-2-enoate
5-phospho-α-D-ribose 1-diphosphate"	"5-phospho-β-D-ribosylamine
crotonate
diphosphate"
(2Z)-2-hydroxypenta-2,4-dienoate ↔ 2-oxopent-4-enoate			RXN-13463	REVERSIBLE	"(2Z)-2-hydroxypenta-2,4-dienoate
2-oxopent-4-enoate"	(2Z)-2-hydroxypenta-2,4-dienoate	2-oxopent-4-enoate
(2Z,4E)-2-hydroxy-6-oxonona-2,4-diene-1,9-dioate + H2O → (2Z)-2-hydroxypenta-2,4-dienoate + succinate + H+	2-hydroxy-6-oxononatrienedioate hydrolase	CPLX0-7950	MHPCHYDROL-RXN	LEFT-TO-RIGHT	"H2O
(2Z,4E)-2-hydroxy-6-oxonona-2,4-diene-1,9-dioate
(2Z)-2-hydroxypenta-2,4-dienoate
succinate
H+"	"(2Z,4E)-2-hydroxy-6-oxonona-2,4-diene-1,9-dioate
H2O"	"(2Z)-2-hydroxypenta-2,4-dienoate
succinate
H+"
(2Z,4E,7E)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate + H2O → (2Z)-2-hydroxypenta-2,4-dienoate + fumarate + H+	2-hydroxy-6-oxononatrienedioate hydrolase	CPLX0-7950	RXN-12070	LEFT-TO-RIGHT	"H2O
(2Z,4E,7E)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate
(2Z)-2-hydroxypenta-2,4-dienoate
fumarate
H+"	"(2Z,4E,7E)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate
H2O"	"(2Z)-2-hydroxypenta-2,4-dienoate
fumarate
H+"
(3E,5Z)-tetradecadienoate[cytosol]→ (3E,5Z)-tetradecadienoate[periplasm]			TRANS-RXN0-525	LEFT-TO-RIGHT	(3E,5Z)-tetradecadienoate	(3E,5Z)-tetradecadienoate	(3E,5Z)-tetradecadienoate
(3R)-3-hydroxy-2-oxo-4 phosphonooxybutanoate + L-glutamate ↔ 4-phospho-hydroxy-L-threonine + 2-oxoglutarate	phosphoserine/phosphohydroxythreonine aminotransferase	PSERTRANSAM-CPLX	PSERTRANSAMPYR-RXN	REVERSIBLE	"L-glutamate
(3R)-3-hydroxy-2-oxo-4 phosphonooxybutanoate
4-phospho-hydroxy-L-threonine
2-oxoglutarate"	"(3R)-3-hydroxy-2-oxo-4 phosphonooxybutanoate
L-glutamate"	"4-phospho-hydroxy-L-threonine
2-oxoglutarate"
(3R)-3-hydroxybutanoyl-CoA ↔ crotonyl-CoA + H2O	oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase	G6708-MONOMER	3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	REVERSIBLE	"(3R)-3-hydroxybutanoyl-CoA
H2O
crotonyl-CoA"	(3R)-3-hydroxybutanoyl-CoA	"H2O
crotonyl-CoA"
(3R)-3-hydroxybutanoyl-CoA + H2O → (R)-3-hydroxybutanoate + coenzyme A + H+	"acyl-CoA thioesterase
acyl-CoA thioesterase II"	"EG11121-MONOMER
THIOESTERII-CPLX"	RXN-14255	LEFT-TO-RIGHT	"H2O
(3R)-3-hydroxybutanoyl-CoA
(R)-3-hydroxybutanoate
coenzyme A
H+"	"(3R)-3-hydroxybutanoyl-CoA
H2O"	"(R)-3-hydroxybutanoate
coenzyme A
H+"
(3R)-3-hydroxybutanoyl-CoA[periplasmic space]+ [(R)-3-hydroxybutanoate]n[periplasmic space]→ [(R)-3-hydroxybutanoate](n+1)[periplasmic space]+ coenzyme A[periplasmic space]	putative periplasmic binding protein ABC family / polyhydroxybutyrate synthase	YDCS-MONOMER	RXN1-42	LEFT-TO-RIGHT	"(3R)-3-hydroxybutanoyl-CoA
poly-3-hydroxybutanoate
coenzyme A"	"(3R)-3-hydroxybutanoyl-CoA
poly-3-hydroxybutanoate"	"poly-3-hydroxybutanoate
coenzyme A"
(3S)-hydroxyadipyl-CoA + NAD+↔ 3-oxoadipyl-CoA + NADH + H+	3-hydroxyadipyl-CoA dehydrogenase	G6716-MONOMER	RXN0-2044	REVERSIBLE	"NAD+
(3S)-hydroxyadipyl-CoA
H+
3-oxoadipyl-CoA
NADH"	"(3S)-hydroxyadipyl-CoA
NAD+"	"H+
3-oxoadipyl-CoA
NADH"
(4S)-4-hydroxy-2-oxoglutarate ↔ glyoxylate + pyruvate	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase	KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX	RXN-13990	REVERSIBLE	"(4S)-4-hydroxy-2-oxoglutarate
glyoxylate
pyruvate"	(4S)-4-hydroxy-2-oxoglutarate	"glyoxylate
pyruvate"
(5Z)-dodecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+→ (2E,5Z)-dodecenoyl-CoA + a reduced electron-transfer flavoprotein	"putative enoyl-CoA reductase
acyl-CoA dehydrogenase"	"G6918-MONOMER
ACYLCOADEHYDROG-MONOMER"	RXN-17796	PHYSIOL-RIGHT-TO-LEFT	"a reduced electron-transfer flavoprotein
(2E,5Z)-dodecenoyl-CoA
(5Z)-dodecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"	"(2E,5Z)-dodecenoyl-CoA
a reduced electron-transfer flavoprotein"	"(5Z)-dodecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"
(5Z)-tetradecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+→ (2E,5Z)-tetradecenoyl-CoA + a reduced electron-transfer flavoprotein	"putative enoyl-CoA reductase
acyl-CoA dehydrogenase"	"G6918-MONOMER
ACYLCOADEHYDROG-MONOMER"	RXN-17783	PHYSIOL-RIGHT-TO-LEFT	"a reduced electron-transfer flavoprotein
(2E,5Z)-tetradecenoyl-CoA
(5Z)-tetradecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"	"(2E,5Z)-tetradecenoyl-CoA
a reduced electron-transfer flavoprotein"	"(5Z)-tetradecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"
(7Z)-hexadecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+→ (2E,7Z)-hexadecenoyl-CoA + a reduced electron-transfer flavoprotein	"putative enoyl-CoA reductase
acyl-CoA dehydrogenase"	"G6918-MONOMER
ACYLCOADEHYDROG-MONOMER"	RXN-17779	PHYSIOL-RIGHT-TO-LEFT	"a reduced electron-transfer flavoprotein
(2E,7Z)-hexadecenoyl-CoA
(7Z)-hexadecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"	"(2E,7Z)-hexadecenoyl-CoA
a reduced electron-transfer flavoprotein"	"(7Z)-hexadecenoyl-CoA
an oxidized electron-transfer flavoprotein
H+"
