"Reactions"	"Enzymes of a reaction"	"Object ID"	"Object ID"	"Reaction-Direction"	"Substrates"	"Left"	"Right"	"Object ID"	"Object ID"
DIHYDROXYISOVALDEHYDRAT-RXN	DIHYDROXYACIDDEHYDRAT-CPLX	"DIHYDROXYACIDDEHYDRAT-CPLX"	"DIHYDROXYISOVALDEHYDRAT-RXN"	LEFT-TO-RIGHT	CPD-13357 // 2-KETO-ISOVALERATE // WATER	CPD-13357	2-KETO-ISOVALERATE // WATER	"CPD-13357"	"2-KETO-ISOVALERATE" // "WATER"
ACETOLACTREDUCTOISOM-RXN	CPLX0-7643	"CPLX0-7643"	"ACETOLACTREDUCTOISOM-RXN"	REVERSIBLE	NADP // CPD-13357 // 2-ACETO-LACTATE // NADPH // PROTON	CPD-13357 // NADP	2-ACETO-LACTATE // NADPH // PROTON	"CPD-13357" // "NADP"	"2-ACETO-LACTATE" // "NADPH" // "PROTON"
4.2.1.99-RXN	CPLX0-7761	"CPLX0-7761"	"4.2.1.99-RXN"	REVERSIBLE	CPD-618 // CPD-1136 // WATER	CPD-618	CPD-1136 // WATER	"CPD-618"	"CPD-1136" // "WATER"
METHYLISOCITRATE-LYASE-RXN	CPLX0-1021	"CPLX0-1021"	"METHYLISOCITRATE-LYASE-RXN"	REVERSIBLE	CPD-618 // SUC // PYRUVATE	CPD-618	SUC // PYRUVATE	"CPD-618"	"SUC" // "PYRUVATE"
RXN-13163	3-ISOPROPYLMALISOM-CPLX	"3-ISOPROPYLMALISOM-CPLX"	"RXN-13163"	REVERSIBLE	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE // 3-CARBOXY-3-HYDROXY-ISOCAPROATE	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	3-CARBOXY-3-HYDROXY-ISOCAPROATE	"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE"	"3-CARBOXY-3-HYDROXY-ISOCAPROATE"
RXN-8991	3-ISOPROPYLMALISOM-CPLX	"3-ISOPROPYLMALISOM-CPLX"	"RXN-8991"	REVERSIBLE	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE // CPD-9451 // WATER	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	CPD-9451 // WATER	"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE"	"CPD-9451" // "WATER"
RXN-13158	G6986-MONOMER // 3-ISOPROPYLMALDEHYDROG-CPLX	"G6986-MONOMER" // "3-ISOPROPYLMALDEHYDROG-CPLX"	"RXN-13158"	PHYSIOL-LEFT-TO-RIGHT	NAD // 2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE // 2K-4CH3-PENTANOATE // CARBON-DIOXIDE // NADH	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE // NAD	2K-4CH3-PENTANOATE // CARBON-DIOXIDE // NADH	"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE" // "NAD"	"2K-4CH3-PENTANOATE" // "CARBON-DIOXIDE" // "NADH"
3-ISOPROPYLMALDEHYDROG-RXN	G6986-MONOMER // 3-ISOPROPYLMALDEHYDROG-CPLX	"G6986-MONOMER" // "3-ISOPROPYLMALDEHYDROG-CPLX"	"3-ISOPROPYLMALDEHYDROG-RXN"	REVERSIBLE	NAD // 2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE // CPD-7100 // NADH // PROTON	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE // NAD	CPD-7100 // NADH // PROTON	"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE" // "NAD"	"CPD-7100" // "NADH" // "PROTON"
TRANS-RXN0-453	G6859-MONOMER	"G6859-MONOMER"	"TRANS-RXN0-453"	LEFT-TO-RIGHT	CPD-10774	CPD-10774	CPD-10774	"CPD-10774"	"CPD-10774"
TRANS-RXN0-454	ABC-58-CPLX	"ABC-58-CPLX"	"TRANS-RXN0-454"	LEFT-TO-RIGHT	WATER // ATP // CPD-10774 // ADP // Pi // PROTON	CPD-10774 // ATP // WATER	CPD-10774 // ADP // Pi // PROTON	"CPD-10774" // "ATP" // "WATER"	"CPD-10774" // "ADP" // "Pi" // "PROTON"
RXN-10017	""	""	"RXN-10017"	LEFT-TO-RIGHT	WATER // CPD-10773 // CPD-10774	CPD-10773 // WATER	CPD-10774	"CPD-10773" // "WATER"	"CPD-10774"
RXN-8447	""	""	"RXN-8447"	PHYSIOL-LEFT-TO-RIGHT	PROTON // 2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE // 1-AMINO-PROPAN-2-ONE-3-PHOSPHATE // CARBON-DIOXIDE	2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE // PROTON	1-AMINO-PROPAN-2-ONE-3-PHOSPHATE // CARBON-DIOXIDE	"2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE" // "PROTON"	"1-AMINO-PROPAN-2-ONE-3-PHOSPHATE" // "CARBON-DIOXIDE"
RXN-15216	G6805-MONOMER	"G6805-MONOMER"	"RXN-15216"	LEFT-TO-RIGHT	CPD-10551 // CPD0-2467	CPD-10551	CPD0-2467	"CPD-10551"	"CPD0-2467"
RXN-7800	""	""	"RXN-7800"	LEFT-TO-RIGHT	CPD-7100 // PROTON // 2K-4CH3-PENTANOATE // CARBON-DIOXIDE	PROTON // CPD-7100	2K-4CH3-PENTANOATE // CARBON-DIOXIDE	"PROTON" // "CPD-7100"	"2K-4CH3-PENTANOATE" // "CARBON-DIOXIDE"
DHBDEHYD-RXN	ENTA-CPLX	"ENTA-CPLX"	"DHBDEHYD-RXN"	LEFT-TO-RIGHT	DIHYDRO-DIOH-BENZOATE // NAD // PROTON // NADH // 2-3-DIHYDROXYBENZOATE	NAD // DIHYDRO-DIOH-BENZOATE	PROTON // NADH // 2-3-DIHYDROXYBENZOATE	"NAD" // "DIHYDRO-DIOH-BENZOATE"	"PROTON" // "NADH" // "2-3-DIHYDROXYBENZOATE"
2-METHYLCITRATE-DEHYDRATASE-RXN	G6199-MONOMER	"G6199-MONOMER"	"2-METHYLCITRATE-DEHYDRATASE-RXN"	LEFT-TO-RIGHT	CPD-622 // WATER // CPD-1136	CPD-622	WATER // CPD-1136	"CPD-622"	"WATER" // "CPD-1136"
RXN-10018	""	""	"RXN-10018"	LEFT-TO-RIGHT	WATER // CPD-10775 // CPD-10776	CPD-10775 // WATER	CPD-10776	"CPD-10775" // "WATER"	"CPD-10776"
RXN-14014	DIHYDROPICRED-CPLX	"DIHYDROPICRED-CPLX"	"RXN-14014"	RIGHT-TO-LEFT	WATER // NADP // DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE // CPD-14443 // NADPH // PROTON	DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE // NADP // WATER	CPD-14443 // NADPH // PROTON	"DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE" // "NADP" // "WATER"	"CPD-14443" // "NADPH" // "PROTON"
RXN-15121	""	""	"RXN-15121"	LEFT-TO-RIGHT	CPD-15056 // CPD-16013	CPD-15056	CPD-16013	"CPD-15056"	"CPD-16013"
RXN0-7170	""	""	"RXN0-7170"	PHYSIOL-LEFT-TO-RIGHT	PRPP // CPD-15056 // 5-P-BETA-D-RIBOSYL-AMINE // CROTONATE // PPI	CPD-15056 // PRPP	5-P-BETA-D-RIBOSYL-AMINE // CROTONATE // PPI	"CPD-15056" // "PRPP"	"5-P-BETA-D-RIBOSYL-AMINE" // "CROTONATE" // "PPI"
RXN-13463	""	""	"RXN-13463"	REVERSIBLE	CPD-14447 // OXOPENTENOATE	CPD-14447	OXOPENTENOATE	"CPD-14447"	"OXOPENTENOATE"
MHPCHYDROL-RXN	CPLX0-7950	"CPLX0-7950"	"MHPCHYDROL-RXN"	LEFT-TO-RIGHT	WATER // CPD-157 // CPD-14447 // SUC // PROTON	CPD-157 // WATER	CPD-14447 // SUC // PROTON	"CPD-157" // "WATER"	"CPD-14447" // "SUC" // "PROTON"
RXN-12070	CPLX0-7950	"CPLX0-7950"	"RXN-12070"	LEFT-TO-RIGHT	WATER // CPD0-2184 // CPD-14447 // FUM // PROTON	CPD0-2184 // WATER	CPD-14447 // FUM // PROTON	"CPD0-2184" // "WATER"	"CPD-14447" // "FUM" // "PROTON"
TRANS-RXN0-525	""	""	"TRANS-RXN0-525"	LEFT-TO-RIGHT	CPD0-1159	CPD0-1159	CPD0-1159	"CPD0-1159"	"CPD0-1159"
PSERTRANSAMPYR-RXN	PSERTRANSAM-CPLX	"PSERTRANSAM-CPLX"	"PSERTRANSAMPYR-RXN"	REVERSIBLE	GLT // 3OH-4P-OH-ALPHA-KETOBUTYRATE // 4-PHOSPHONOOXY-THREONINE // 2-KETOGLUTARATE	3OH-4P-OH-ALPHA-KETOBUTYRATE // GLT	4-PHOSPHONOOXY-THREONINE // 2-KETOGLUTARATE	"3OH-4P-OH-ALPHA-KETOBUTYRATE" // "GLT"	"4-PHOSPHONOOXY-THREONINE" // "2-KETOGLUTARATE"
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	G6708-MONOMER	"G6708-MONOMER"	"3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN"	REVERSIBLE	CPD-650 // WATER // CROTONYL-COA	CPD-650	WATER // CROTONYL-COA	"CPD-650"	"WATER" // "CROTONYL-COA"
RXN-14255	EG11121-MONOMER // THIOESTERII-CPLX	"EG11121-MONOMER" // "THIOESTERII-CPLX"	"RXN-14255"	LEFT-TO-RIGHT	WATER // CPD-650 // CPD-335 // CO-A // PROTON	CPD-650 // WATER	CPD-335 // CO-A // PROTON	"CPD-650" // "WATER"	"CPD-335" // "CO-A" // "PROTON"
RXN1-42	YDCS-MONOMER	"YDCS-MONOMER"	"RXN1-42"	LEFT-TO-RIGHT	CPD-650 // Poly-Hydroxybutyrate // CO-A	CPD-650 // Poly-Hydroxybutyrate	Poly-Hydroxybutyrate // CO-A	"CPD-650" // "Poly-Hydroxybutyrate"	"Poly-Hydroxybutyrate" // "CO-A"
RXN0-2044	G6716-MONOMER	"G6716-MONOMER"	"RXN0-2044"	REVERSIBLE	NAD // 3-HYDROXYADIPYL-COA // PROTON // 3-KETO-ADIPYL-COA // NADH	3-HYDROXYADIPYL-COA // NAD	PROTON // 3-KETO-ADIPYL-COA // NADH	"3-HYDROXYADIPYL-COA" // "NAD"	"PROTON" // "3-KETO-ADIPYL-COA" // "NADH"
RXN-13990	KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX	"KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX"	"RXN-13990"	REVERSIBLE	CPD-15016 // GLYOX // PYRUVATE	CPD-15016	GLYOX // PYRUVATE	"CPD-15016"	"GLYOX" // "PYRUVATE"
RXN-17796	G6918-MONOMER // ACYLCOADEHYDROG-MONOMER	"G6918-MONOMER" // "ACYLCOADEHYDROG-MONOMER"	"RXN-17796"	PHYSIOL-RIGHT-TO-LEFT	ETF-Reduced // CPD-19150 // CPD-19148 // ETF-Oxidized // PROTON	CPD-19150 // ETF-Reduced	CPD-19148 // ETF-Oxidized // PROTON	"CPD-19150" // "ETF-Reduced"	"CPD-19148" // "ETF-Oxidized" // "PROTON"
RXN-17783	G6918-MONOMER // ACYLCOADEHYDROG-MONOMER	"G6918-MONOMER" // "ACYLCOADEHYDROG-MONOMER"	"RXN-17783"	PHYSIOL-RIGHT-TO-LEFT	ETF-Reduced // CPD0-1162 // CPD-15436 // ETF-Oxidized // PROTON	CPD0-1162 // ETF-Reduced	CPD-15436 // ETF-Oxidized // PROTON	"CPD0-1162" // "ETF-Reduced"	"CPD-15436" // "ETF-Oxidized" // "PROTON"
RXN-17779	G6918-MONOMER // ACYLCOADEHYDROG-MONOMER	"G6918-MONOMER" // "ACYLCOADEHYDROG-MONOMER"	"RXN-17779"	PHYSIOL-RIGHT-TO-LEFT	ETF-Reduced // CPD-19170 // CPD-19144 // ETF-Oxidized // PROTON	CPD-19170 // ETF-Reduced	CPD-19144 // ETF-Oxidized // PROTON	"CPD-19170" // "ETF-Reduced"	"CPD-19144" // "ETF-Oxidized" // "PROTON"
RXN-17792	G6918-MONOMER // ACYLCOADEHYDROG-MONOMER	"G6918-MONOMER" // "ACYLCOADEHYDROG-MONOMER"	"RXN-17792"	PHYSIOL-RIGHT-TO-LEFT	ETF-Reduced // CPD-19161 // CPD-19147 // ETF-Oxidized // PROTON	CPD-19161 // ETF-Reduced	CPD-19147 // ETF-Oxidized // PROTON	"CPD-19161" // "ETF-Reduced"	"CPD-19147" // "ETF-Oxidized" // "PROTON"
RXN-17809	CPLX-8331	"CPLX-8331"	"RXN-17809"	LEFT-TO-RIGHT	CPD-19179 // PRECURSOR-Z // PPI	CPD-19179	PRECURSOR-Z // PPI	"CPD-19179"	"PRECURSOR-Z" // "PPI"
3.1.11.2-RXN	EG11073-MONOMER	"EG11073-MONOMER"	"3.1.11.2-RXN"	PHYSIOL-LEFT-TO-RIGHT	WATER // DNA-N // Deoxy-Ribonucleoside-Monophosphates	DNA-N // WATER	DNA-N // Deoxy-Ribonucleoside-Monophosphates	"DNA-N" // "WATER"	"DNA-N" // "Deoxy-Ribonucleoside-Monophosphates"
RXN0-884	CPLX0-7564	"CPLX0-7564"	"RXN0-884"	RIGHT-TO-LEFT	WATER // Oxidized-ferredoxins // CPD-4211 // HYDROXY-METHYL-BUTENYL-DIP // Reduced-ferredoxins // PROTON	CPD-4211 // Oxidized-ferredoxins // WATER	HYDROXY-METHYL-BUTENYL-DIP // Reduced-ferredoxins // PROTON	"CPD-4211" // "Oxidized-ferredoxins" // "WATER"	"HYDROXY-METHYL-BUTENYL-DIP" // "Reduced-ferredoxins" // "PROTON"
ISPH2-RXN	CPLX0-7564	"CPLX0-7564"	"ISPH2-RXN"	RIGHT-TO-LEFT	WATER // Oxidized-ferredoxins // DELTA3-ISOPENTENYL-PP // HYDROXY-METHYL-BUTENYL-DIP // Reduced-ferredoxins // PROTON	DELTA3-ISOPENTENYL-PP // Oxidized-ferredoxins // WATER	HYDROXY-METHYL-BUTENYL-DIP // Reduced-ferredoxins // PROTON	"DELTA3-ISOPENTENYL-PP" // "Oxidized-ferredoxins" // "WATER"	"HYDROXY-METHYL-BUTENYL-DIP" // "Reduced-ferredoxins" // "PROTON"
TRANS-RXN0-279	EG11486-MONOMER	"EG11486-MONOMER"	"TRANS-RXN0-279"	LEFT-TO-RIGHT	C55-PP-GLCNAC-MANNACA-FUC4NAC	C55-PP-GLCNAC-MANNACA-FUC4NAC	C55-PP-GLCNAC-MANNACA-FUC4NAC	"C55-PP-GLCNAC-MANNACA-FUC4NAC"	"C55-PP-GLCNAC-MANNACA-FUC4NAC"
EXOPOLYPHOSPHATASE-RXN	PPX-CPLX	"PPX-CPLX"	"EXOPOLYPHOSPHATASE-RXN"	LEFT-TO-RIGHT	WATER // Long-Chain-Polyphosphate // Pi	Long-Chain-Polyphosphate // WATER	Long-Chain-Polyphosphate // Pi	"Long-Chain-Polyphosphate" // "WATER"	"Long-Chain-Polyphosphate" // "Pi"
DIHYDROXYMETVALDEHYDRAT-RXN	DIHYDROXYACIDDEHYDRAT-CPLX	"DIHYDROXYACIDDEHYDRAT-CPLX"	"DIHYDROXYMETVALDEHYDRAT-RXN"	LEFT-TO-RIGHT	1-KETO-2-METHYLVALERATE // 2-KETO-3-METHYL-VALERATE // WATER	1-KETO-2-METHYLVALERATE	2-KETO-3-METHYL-VALERATE // WATER	"1-KETO-2-METHYLVALERATE"	"2-KETO-3-METHYL-VALERATE" // "WATER"
KETOGLUTREDUCT-RXN	PGLYCDEHYDROG-CPLX	"PGLYCDEHYDROG-CPLX"	"KETOGLUTREDUCT-RXN"	REVERSIBLE	NAD // R-2-HYDROXYGLUTARATE // 2-KETOGLUTARATE // NADH // PROTON	R-2-HYDROXYGLUTARATE // NAD	2-KETOGLUTARATE // NADH // PROTON	"R-2-HYDROXYGLUTARATE" // "NAD"	"2-KETOGLUTARATE" // "NADH" // "PROTON"
RXN-9557	FABZ-CPLX	"FABZ-CPLX"	"RXN-9557"	LEFT-TO-RIGHT	R-3-hydroxy-cis-vaccenoyl-ACPs // cis-vaccen-2-enoyl-ACPs // WATER	R-3-hydroxy-cis-vaccenoyl-ACPs	cis-vaccen-2-enoyl-ACPs // WATER	"R-3-hydroxy-cis-vaccenoyl-ACPs"	"cis-vaccen-2-enoyl-ACPs" // "WATER"
P-PANTOCYSLIG-RXN	CPLX0-341	"CPLX0-341"	"P-PANTOCYSLIG-RXN"	PHYSIOL-LEFT-TO-RIGHT	CTP // CYS // 4-P-PANTOTHENATE // PROTON // PPI // CMP // R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	4-P-PANTOTHENATE // CYS // CTP	PROTON // PPI // CMP // R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	"4-P-PANTOTHENATE" // "CYS" // "CTP"	"PROTON" // "PPI" // "CMP" // "R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE"
RXN-15743	CPLX0-7667 // G6190-MONOMER // EG11436-MONOMER // G6269-MONOMER	"CPLX0-7667" // "G6190-MONOMER" // "EG11436-MONOMER" // "G6269-MONOMER"	"RXN-15743"	PHYSIOL-RIGHT-TO-LEFT	NADP // CPD-8891 // CPD-358 // NADPH // PROTON	CPD-8891 // NADP	CPD-358 // NADPH // PROTON	"CPD-8891" // "NADP"	"CPD-358" // "NADPH" // "PROTON"
DLACTDEHYDROGFAD-RXN	DLACTDEHYDROGFAD-MONOMER	"DLACTDEHYDROGFAD-MONOMER"	"DLACTDEHYDROGFAD-RXN"	LEFT-TO-RIGHT	D-LACTATE // Ubiquinones // Ubiquinols // PYRUVATE	Ubiquinones // D-LACTATE	Ubiquinols // PYRUVATE	"Ubiquinones" // "D-LACTATE"	"Ubiquinols" // "PYRUVATE"
TRANS-RXN0-515	B2975-MONOMER // LCTP-MONOMER	"B2975-MONOMER" // "LCTP-MONOMER"	"TRANS-RXN0-515"	REVERSIBLE	D-LACTATE // PROTON	D-LACTATE // PROTON	D-LACTATE // PROTON	"D-LACTATE" // "PROTON"	"D-LACTATE" // "PROTON"
TRANS-RXN0-278	""	""	"TRANS-RXN0-278"	LEFT-TO-RIGHT	LIPOIC-ACID	LIPOIC-ACID	LIPOIC-ACID	"LIPOIC-ACID"	"LIPOIC-ACID"
1.1.1.83-RXN	G6986-MONOMER	"G6986-MONOMER"	"1.1.1.83-RXN"	LEFT-TO-RIGHT	CPD-660 // NAD // NADH // CARBON-DIOXIDE // PYRUVATE	NAD // CPD-660	NADH // CARBON-DIOXIDE // PYRUVATE	"NAD" // "CPD-660"	"NADH" // "CARBON-DIOXIDE" // "PYRUVATE"
TRANS-RXN0-451	DCTA-MONOMER	"DCTA-MONOMER"	"TRANS-RXN0-451"	LEFT-TO-RIGHT	CPD-660 // PROTON	CPD-660 // PROTON	CPD-660 // PROTON	"CPD-660" // "PROTON"	"CPD-660" // "PROTON"
METHYLMALONYL-COA-EPIM-RXN	METHYLMALONYL-COA-EPIM-MONOMER	"METHYLMALONYL-COA-EPIM-MONOMER"	"METHYLMALONYL-COA-EPIM-RXN"	REVERSIBLE	METHYL-MALONYL-COA // D-METHYL-MALONYL-COA	METHYL-MALONYL-COA	D-METHYL-MALONYL-COA	"METHYL-MALONYL-COA"	"D-METHYL-MALONYL-COA"
